anio,tc_oficial_prom
2015,9.284246575342465
2016,14.95860655737705
2017,16.754027397260273
2018,28.10893150684931
2019,48.24296712328768
2020,70.64770491803279
2021,95.1029589041096
2022,130.6970410958904
2023,296.91804684931503
2024,935.4071038251366
2025,1264.9205479452055
