organismo,fecha_acta,fecha_envio-onc,descripcion,ccoo,planilla-adjunta,acto-administrativo
Armada Argentina,2020-06-30,2020-08-24,"Comunicación Oficial enviada por la Armada Argentina - Hospital Naval con el detalle del procedimiento COMPR.AR 38/38-0130-CDI20 / COVID-19 N°130/20, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-55731455-apn-dgsaara.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-55731455-apn-dgsaara.xlsx,https://www.argentina.gob.ar/sites/default/files/di-2020-53535932-apn-dgsaara.pdf
Armada Argentina,2020-07-13,2020-08-24,"Comunicación Oficial enviada por la Armada Argentina - Hospital Naval con el detalle del procedimiento COMPR.AR 38/38-0150-CDI20 / COVID-19 N°150/20, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-55733010-apn-dgsaara.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-55733010-apn-dgsaara.xlsx,https://www.argentina.gob.ar/sites/default/files/di-2020-52638765-apn-dgsaara.pdf
Armada Argentina,2020-07-23,2020-08-24,"Comunicación Oficial enviada por la Armada Argentina - Hospital Naval con el detalle del procedimiento COMPR.AR 38/38-0172-CDI20 / COVID-19 N°172/20, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-55735594-apn-dgsaara.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-55735594-apn-dgsaara.xlsx,https://www.argentina.gob.ar/sites/default/files/di-2020-53327834-apn-dgsaara.pdf
Armada Argentina,2020-07-22,2020-08-24,"Comunicación Oficial enviada por la Armada Argentina - Hospital Naval con el detalle del procedimiento COMPR.AR 38/38-0175-CDI20 / COVID-19 N°175/20, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-55736889-apn-dgsaara.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-55736889-apn-dgsaara.xlsx,https://www.argentina.gob.ar/sites/default/files/di-2020-53536213-apn-dgsaara.pdf
Fuerza Aérea Argentina,2020-07-30,2020-08-25,"Comunicación Oficial enviada por la Fuerza Aérea Argentina con el detalle del procedimiento COMPR.AR 40/39-0472-CDI20 / COVID19 N°12/20, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-55895429-apn-dconfaa.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-55895429-apn-dconfaa.xlsx,https://www.argentina.gob.ar/sites/default/files/di-2020-53385335-apn-dconfaa.pdf
Ministerio de Desarrollo Social,2020-07-01,2020-08-27,"Comunicación Oficial enviada por el Ministerio de Desarrollo Social con el detalle del procedimiento COMPR.AR 95-0057-CDI20 / COVID-19 N°22/2020, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-56585237-apn-dcycmds.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-56585237-apn-dcycmds.xlsx,https://www.argentina.gob.ar/sites/default/files/rs-2020-56348058-apn-mds.pdf
Ministerio de Educación,2020-08-24,2020-08-27,"Comunicación Oficial enviada por el Ministerio de Educación con el detalle del procedimiento COMPR.AR 82-0024-CDI20, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-56642626-apn-dcme.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-56642626-apn-dcme.xlsx,https://www.argentina.gob.ar/sites/default/files/rs-2020-56182550-apn-me.pdf
Agencia Nacional de Seguridad Vial,2020-08-03,2020-08-28,"Comunicación Oficial enviada por la Agencia Nacional de Seguridad Vial con el detalle del procedimiento COMPR.AR 313-0009-CDI20 / COVID-19 N°1/2020, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-57149184-apn-dcansv.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-57149184-apn-dcansv.xlsx,https://www.argentina.gob.ar/sites/default/files/di-2020-388-apn-ansvmtr.pdf
Instituto Nacional de Vitivinicultura,2020-06-16,2020-08-31,"Comunicación Oficial enviada por el Instituto Nacional de Vitivinicultura con el detalle del procedimiento COMPR.AR 49-0019-CDI20, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-57439555-apn-sainv.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-57439555-apn-sainv.xlsx,https://www.argentina.gob.ar/sites/default/files/di-2020-42599354-apn-invmagyp.pdf
Ministerio de Desarrollo Social,2020-07-29,2020-08-31,"Comunicación Oficial enviada por el Ministerio de Desarrollo Social con el detalle del procedimiento COMPR.AR 95-0075-CDI20 / COVID-19 N°30/2020, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-57549782-apn-dcycmds.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-57549782-apn-dcycmds.xlsxx,https://www.argentina.gob.ar/sites/default/files/rs-2020-56730471-apn-mds.pdf
Fuerza Aérea Argentina,2020-07-16,2020-09-01,"Comunicación Oficial enviada por la Fuerza Aérea Argentina con el detalle del procedimiento COMPR.AR 40/39-0428-CDI20 / COVID19 N°6/20, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-57863471-apn-dconfaa.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-57863471-apn-dconfaa.xlsx,https://www.argentina.gob.ar/sites/default/files/di-2020-53167755-apn-dconfaa.pdf
Ministerio de Ambiente y Desarrollo Sostenible,2020-08-07,2020-09-09,"Comunicación Oficial enviada por el Ministerio de Ambiente y Desarrollo Sostenible con el detalle del procedimiento COMPR.AR 262-0014-CDI20 / COVID19 N°4/20, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/me-2020-60012388-apn-dccpysmad.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_me-2020-60012388-apn-dccpysmad.xlsx,https://www.argentina.gob.ar/sites/default/files/rs-2020-59026863-apn-mad.pdf
Teatro Nacional Cervantes,2020-08-25,2020-09-09,"Comunicación Oficial enviada por el Teatro Nacional Cervantes con el detalle del procedimiento COMPR.AR 17-0035-CDI20 / COVID19 N°4/20, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-60104679-apn-datnc.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-60104679-apn-datnc.xlsx,https://www.argentina.gob.ar/sites/default/files/rs-2020-58623701-apn-tncmc.pdf
Autoridad Regulatoria Nuclear,2020-08-07,2020-09-11,"Comunicación Oficial enviada por la Autoridad Regulatoria Nuclear con el detalle del procedimiento COMPR.AR 16-0021-CDI20 / COVID19 N°1/20, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-60728823-apn-gaayrarn.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-60728823-apn-gaayrarn.xlsx,https://www.argentina.gob.ar/sites/default/files/rs-2020-59509337-apn-darn.pdf
Armada Argentina,2020-05-19,2020-09-07,"Comunicación Oficial enviada por la Armada Argentina - Hospital Naval con el detalle del procedimiento COMPR.AR 38/38-0083-CDI20 / COVID-19 N°83/20, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-59457809-apn-dgsaara.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-59457809-apn-dgsaara.xlsx,https://www.argentina.gob.ar/sites/default/files/di-2020-54380728-apn-dgsaara.pdf
Armada Argentina,2020-08-04,2020-09-07,"Comunicación Oficial enviada por la Armada Argentina - Hospital Naval con el detalle del procedimiento COMPR.AR 38/38-0181-CDI20 / COVID-19 N°181/20, planilla adjunta y acto administrativo.",https://www.argentina.gob.ar/sites/default/files/no-2020-59458538-apn-dgsaara.pdf,https://www.argentina.gob.ar/sites/default/files/planilla_no-2020-59458538-apn-dgsaara.xlsx,https://www.argentina.gob.ar/sites/default/files/di-2020-57040979-apn-dgsaara.pdf
