"region","era","n","share_directa_n","share_abierta_n","share_directa_monto"
"Metro","fernandez",72111,0.356311797090596,0.220008043155691,0.345937515194046
"Metro","macri",27652,0.481411832778822,0.206531173152032,0.410392645080893
"Metro","milei",48526,0.272534311503112,0.269340147549767,0.273741630981253
"NEA","fernandez",3725,0.464697986577181,0.0783892617449664,0.0572898054022681
"NEA","macri",1027,0.474196689386563,0.131450827653359,0.288853574066975
"NEA","milei",2603,0.41260084517864,0.194006915097964,0.105587771820294
"Resto","fernandez",15986,0.433629425747529,0.121481296134117,0.229526602833088
"Resto","macri",5474,0.584033613445378,0.116002922908294,0.305249154373779
"Resto","milei",12997,0.330999461414173,0.204816496114488,0.1333730073224
