"estrato","provincias","replicas","rv_mediano_n150","ic_lo","ic_hi","rv_observado_medio","n_min","n_max"
"middle",4,1200,0.573,0.293,0.713,0.604,155,243
"core",5,1500,0.483,0.241,0.693,0.637,325,3954
"outer",3,900,0.465,0.265,0.637,0.465,157,228
