"termino","HR","ic90_lo","ic90_hi","ic95_lo","ic95_hi","margen_equivalencia_conjunto"
"regionMetro",0.945,0.858,1.041,0.842,1.061,1.165
"regionResto",0.984,0.895,1.082,0.879,1.102,1.165
