"estrato","eje_cs","tasa_modif_cs","r_nac1","r_nac2","r_nac3","r_nac4","r_nac5","eje_nacional_que_carga","r_max"
"core",1,42.9,0.973,0.09,-0.173,0.127,-0.013,1,0.973
"core",2,28.2,-0.067,0.958,0.043,0.015,0.253,2,0.958
"core",3,12.3,0.031,0.014,0.496,0.696,-0.316,4,0.696
"middle",1,59.6,0.363,0.096,-0.205,-0.698,-0.407,4,0.698
"middle",2,21,-0.671,0.046,-0.723,0.082,0.052,3,0.723
"middle",3,11.1,-0.55,0.174,0.429,-0.232,-0.294,1,0.55
"outer",1,53.3,0.254,0.279,-0.497,-0.737,-0.181,4,0.737
"outer",2,24.3,0.867,-0.002,0.448,-0.038,0.126,1,0.867
"outer",3,13.4,0.017,0.224,0.507,-0.236,-0.413,3,0.507
