"ejercicio","variable","theil_total","theil_between","theil_within","share_between","n_firmas"
2016,"monto",1.58770872078615,0.0752103877575813,1.51249833302856,0.0473703940609089,117
2016,"n",0.0787478881632226,0.000369049244257376,0.0783788389189652,0.00468646528643967,117
2017,"monto",2.40735444715925,0.0629032648793856,2.34445118227986,0.026129623310607,1347
2017,"n",0.712976077194934,0.0167622441185722,0.696213833076362,0.0235102476152074,1347
2018,"monto",2.09873650530546,0.140729284199363,1.95800722110609,0.0670542890179923,3315
2018,"n",0.808501501495376,0.0254494178187371,0.783052083676639,0.0314772672303846,3315
2019,"monto",2.58426475367733,0.14396424122614,2.44030051245119,0.0557080078661767,3911
2019,"n",1.0947045442092,0.051763386130509,1.0429411580787,0.0472852573823031,3911
2020,"monto",2.32768585528394,0.217953770659393,2.10973208462455,0.0936353890558853,3299
2020,"n",1.16523944994085,0.0651821848175063,1.10005726512334,0.0559388757570945,3299
2021,"monto",2.20908881650663,0.156886489836022,2.05220232667061,0.0710186429190821,4173
2021,"n",1.25637065576474,0.0714774260129035,1.18489322975184,0.0568919893862022,4173
2022,"monto",2.32399745856521,0.238661520515663,2.08533593804954,0.102694398238717,4049
2022,"n",1.23550046861796,0.0732987884763805,1.16220168014158,0.0593272041073144,4049
2023,"monto",2.40702955805593,0.210667279934832,2.1963622781211,0.0875216838238499,3707
2023,"n",1.22544442130009,0.0684975507940659,1.15694687050603,0.0558960892909332,3707
2024,"monto",2.27281772240567,0.26111663918926,2.01170108321641,0.114886748996695,3026
2024,"n",1.33264623260778,0.0654429395415395,1.26720329306624,0.049107511010989,3026
2025,"monto",2.89353082419444,0.399681718240713,2.49384910595373,0.138129414381471,3328
2025,"n",1.34408989275002,0.0753710165940816,1.26871887615594,0.0560758748359247,3328
2026,"monto",2.39281959101565,0.337099211012595,2.05572038000305,0.140879493079339,2069
2026,"n",1.11466009325653,0.0575951807307425,1.05706491252579,0.0516706223531118,2069
