"organismo","primer_ejercicio","ultimo_ejercicio","n_adj","tipo","anclaje"
"376 - Subsecretaría del Servicio Logístico de la Defensa",2017,2018,6,"seguridad_defensa",FALSE
"336 - Ministerio de Ciencia; Tecnología e Innovación Productiva",2017,2018,4,"ciencia_universidad",FALSE
"379 - Estado Mayor General de la Armada",2018,2026,21670,"seguridad_defensa",TRUE
"381 - Estado Mayor General de La Fuerza Aérea",2018,2026,18184,"seguridad_defensa",TRUE
"375 - Gendarmeria Nacional",2018,2026,15159,"seguridad_defensa",TRUE
"107 - Administración de Parques Nacionales",2018,2026,5906,"administracion",TRUE
"105 - Comisión Nacional de Energía Atómica",2018,2026,5326,"ciencia_universidad",FALSE
"906 - Administración Nacional de Laboratorios e Institutos de Salud “Dr. Carlos Malbrán",2018,2026,4243,"salud_social",FALSE
"371 - Estado Mayor Conjunto (EMCO)",2018,2026,2605,"seguridad_defensa",FALSE
"903 - Hospital Nacional Dr Baldomero Sommer",2018,2026,2012,"salud_social",FALSE
"607 - Instituto Nacional de Investigación y Desarrollo Pesquero",2018,2026,1945,"ciencia_universidad",FALSE
"904 - Administración Nacional de Medicamentos; Alimentos y Tecnología Médica - ANMAT",2018,2026,1492,"salud_social",FALSE
"909 - Colonia Nacional Dr. Manuel Montes de Oca",2018,2026,948,"salud_social",FALSE
"113 - Teatro Nacional Cervantes",2018,2026,884,"cultura_educacion",FALSE
"651 - Ente Nacional Regulador del Gas",2018,2026,777,"administracion",FALSE
"902 - Hospital Nacional en Red Especializado en Salud Mental y Adicciones Licenciada Laura Bonaparte",2018,2026,757,"salud_social",FALSE
"609 - Instituto Nacional de Vitivinicultura",2018,2026,725,"administracion",FALSE
"106 - Comisión Nacional de Actividades Espaciales",2018,2026,671,"ciencia_universidad",FALSE
"905 - Instituto Nacional Central Único Coordinador de Ablación e Implante",2018,2026,613,"salud_social",FALSE
"116 - Biblioteca Nacional",2018,2026,596,"cultura_educacion",FALSE
"556 - Autoridad de Cuenca Matanza Riachuelo",2018,2026,537,"infraestructura",FALSE
"380 - Prefectura Naval Argentina",2018,2026,463,"seguridad_defensa",TRUE
"101 - Fundación Miguel Lillo",2018,2026,438,"ciencia_universidad",FALSE
"622 - Instituto Nacional de la Propiedad Industrial",2018,2026,338,"administracion",FALSE
"250 - Caja de Retiros Jubilaciones y Pensiones de la Policía Federal",2018,2026,324,"seguridad_defensa",FALSE
"326 - Super Intendencia de la Administracion de la Policia Federal",2018,2026,321,"seguridad_defensa",FALSE
"624 - Servicio Geológico Minero Argentino",2018,2026,291,"ciencia_universidad",FALSE
"917 - Agencia Nacional de Discapacidad",2018,2025,211,"salud_social",FALSE
"364-Ministerio de Obras Públicas",2018,2024,199,"infraestructura",FALSE
"802 - Fondo Nacional de las Artes",2018,2026,180,"cultura_educacion",FALSE
"203 - Agencia Nacional de Seguridad Vial",2018,2026,173,"administracion",FALSE
"910 - Instituto Nacional de Rehabilitación Psicofísica del Sur DR. Juan otimio Tessone",2018,2019,137,"salud_social",FALSE
"103 - Consejo Nacional de Investigaciones Científicas y Técnicas",2018,2026,132,"ciencia_universidad",FALSE
"117 - Instituto Nacional del Teatro",2018,2026,86,"cultura_educacion",FALSE
"612 - Tribunal de Tasaciones de la Nación",2018,2026,69,"administracion",FALSE
"206 - Centro Internacional para la Promoción de los Derechos Humanos",2018,2026,53,"administracion",FALSE
"608 - Instituto Nacional de Tecnología Industrial",2018,2026,40,"ciencia_universidad",FALSE
"915 - Instituto Nacional del Cáncer",2018,2025,37,"salud_social",FALSE
"322 - Ministerio de Turismo",2018,2019,14,"administracion",FALSE
"918 - Instituto Nacional de las Mujeres",2018,2019,11,"salud_social",FALSE
"916 - Agencia Nacional de Laboratorios Públicos",2018,2023,6,"salud_social",FALSE
