"estrato","provincias","replicas","rv_fijo_n150","ic_lo","ic_hi","rv_variable_medio","rv_fijo_medio"
"middle",7,1816,0.497,0.297,0.704,0.547,0.566
"outer",6,1591,0.454,0.291,0.682,0.486,0.529
"core",5,1439,0.441,0.203,0.65,0.637,0.68
