"dim","eigenvalue","pct_raw","pct_benzecri"
1,0.272464515825208,8.5379693079132,43.6190522322249
2,0.258695835171153,8.10651285759805,33.0045293285259
3,0.218339920635307,6.84191677375106,10.4052895298348
4,0.209343685312599,6.56001004237574,7.09758647798486
5,0.196040603558159,6.14314363547475,3.36238053162285
6,0.190684989886403,5.97531970795889,2.24806009874825
7,0.174016110043964,5.45298238979106,0.21048998833577
8,0.170045097108711,5.32854641889103,0.044478743578446
9,0.168111327699189,5.26794966992695,0.00813306914426241
10,0.163707911413913,5.12996387394255,NA
11,0.158000543576212,4.95111735046157,NA
12,0.151187736921288,4.73763071002946,NA
13,0.148384880496787,4.64980018261416,NA
14,0.14104781296595,4.41988526250561,NA
15,0.130136198602024,4.07795806418098,NA
16,0.122048304895933,3.82451519651388,NA
17,0.115096707912219,3.60667941151939,NA
18,0.105528298510111,3.30684298858804,NA
19,0.0755748549385018,2.36821954580268,NA
20,0.0173435016213047,0.543477318820618,NA
21,0.00541099277270645,0.169559291340328,NA
22,2.07373622830787e-28,6.49827601086913e-27,NA
23,1.76477054887405e-28,5.53009874924848e-27,NA
24,5.30909394269891e-29,1.66366181659672e-27,NA
25,1.24209509356904e-29,3.89223886797992e-28,NA
