"medida","valor"
"gap_DE_dim1",0.06
"gap_DE_dim2",0.83
"gap_DE_dim3",0.05
"eje_territorial",2
"r_abs_3act_dim1",0.63
"r_abs_3act_dim2",0.6
"ctr_registro_ejeT_pct",21.9
