loc_prov,adjudicaciones,proveedores,pct
FORMOSA,57,17,57.0
CIUDAD AUTONOMA DE BUENOS AIRES,14,10,14.0
MONTE CASEROS,8,2,8.0
CORDOBA,4,4,4.0
CASTELAR,4,1,4.0
LOMAS DE ZAMORA,2,2,2.0
CASEROS,2,1,2.0
RESISTENCIA,2,1,2.0
BIGAND,1,1,1.0
GENERAL PACHECO,1,1,1.0
GUAYMALLEN,1,1,1.0
MARTINEZ,1,1,1.0
MAR DEL PLATA,1,1,1.0
MONTE GRANDE,1,1,1.0
VILLA MARIA,1,1,1.0
