"comprador","proveedor","n","pct_cualitativo","lo","hi"
"anclado","persona_fisica",13447,0.39,0.23,0.58
"anclado","sociedad",16320,2.67,2,3.53
"programatico","persona_fisica",7855,7.21,5.64,9.05
"programatico","sociedad",19682,13.74,11.05,16.97
