"medida","valor"
"rango observado",0.612
"rango contrafactual",0.624
"desvio observado",0.167
"desvio contrafactual",0.179
"gap Formosa-CABA observado",0.578
"gap Formosa-CABA contrafactual",0.619
"gap cerrado por composicion (%)",-7.093
"rho con anclado, observado",0.548
"rho con anclado, contrafactual",0.522
