"estrato","n","congruencia_dim1","cong_ic_lo","cong_ic_hi","rv","rv_ic_lo","rv_ic_hi","replicas_validas","B"
"middle",1313,0.767,0.66,0.82,0.377,0.296,0.639,200,200
"outer",1223,0.813,0.654,0.863,0.524,0.373,0.688,200,200
