"medida","chisq","gl","p","prueba"
"congruencia dim1",1.5,2,0.473,"Kruskal-Wallis entre estratos, 18 provincias"
"coeficiente RV",5.53,2,0.063,"Kruskal-Wallis entre estratos, 18 provincias"
