"loc_uoc","lat_u","lon_u","loc_prov","lat_p","lon_p","anclado","n_adj","km"
"CABA",-34.6075,-58.4371,"SAN LUIS",-33.3020864829706,-66.336854573535,"Programmatic organ",139,743
"CABA",-34.6075,-58.4371,"RIO CUARTO",-33.1238369342208,-64.3490032179798,"Anchored organ",138,570
"San Carlos de Bariloche",-41.1358081611304,-71.3043392567773,"SAN CARLOS DE BARILOCHE",-41.1358081611304,-71.3043392567773,"Programmatic organ",138,0
"CABA",-34.6075,-58.4371,"Rosario",-32.9472133838031,-60.6331755763544,"Anchored organ",135,274
"El Palomar",-34.6108556165017,-58.5956810077115,"VILLA BALLESTER",-34.5480834920372,-58.5570844833764,"Anchored organ",135,8
"Córdoba",-31.4150461523809,-64.1791140755104,"VILLA CARLOS PAZ",-31.4179169402695,-64.4940291640464,"Anchored organ",134,30
"Corrientes",-27.4633450136008,-58.8394728460849,"CORRIENTES",-27.4633450136008,-58.8394728460849,"Anchored organ",132,0
"Punta Alta",-38.8781733532983,-62.0794804613607,"MAR DEL PLATA",-38.0064494189987,-57.5438377776641,"Anchored organ",132,407
"Ezeiza",-34.8543939582115,-58.524757807358,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",130,29
"CABA",-34.6075,-58.4371,"VILLA ADELINA",-34.5188556851314,-58.5473555040385,"Anchored organ",129,14
"Campo de Mayo",-34.5550627752485,-58.6522136037965,"SAN MIGUEL",-34.5431343361878,-58.7092007082159,"Anchored organ",127,5
"Corrientes",-27.4633450136008,-58.8394728460849,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",126,795
"San Carlos de Bariloche",-41.1358081611304,-71.3043392567773,"BAHIA BLANCA",-38.7227702772442,-62.2727419998288,"Programmatic organ",126,815
"CABA",-34.6075,-58.4371,"CIUDADELA",-34.6379153169712,-58.5393433409443,"Programmatic organ",125,10
"CABA",-34.6075,-58.4371,"ITUZAINGO",-34.6603884942507,-58.6661675132925,"Anchored organ",124,22
"Neuquén",-38.9518288206176,-68.0591813073308,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",124,983
"Resistencia",-27.4510757112285,-58.9864835287395,"CORDOBA",-31.4150461523809,-64.1791140755104,"Anchored organ",124,669
