"loc_uoc","lat_u","lon_u","loc_prov","lat_p","lon_p","anclado","n_adj","km"
"CABA",-34.6075,-58.4371,"MENDOZA",-32.8897325533642,-68.8444442314254,"Anchored organ",53,981
"Orán",-23.33267,-64.3165433,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",53,1377
"Santiago del Estero",-27.787684474002,-64.259668066644,"SANTIAGO DEL ESTERO",-27.787684474002,-64.259668066644,"Anchored organ",53,0
"Torres",-34.4309916604575,-59.1278642374609,"CABA",-34.6075,-58.4371,"Programmatic organ",53,66
"CABA",-34.6075,-58.4371,"BERAZATEGUI",-34.7630163121184,-58.2121691523322,"Anchored organ",52,27
"CABA",-34.6075,-58.4371,"RINCON DE MILBERG",-34.4104604155702,-58.6019963050247,"Programmatic organ",52,27
"CABA",-34.6075,-58.4371,"SAN VICENTE",-35.0259018058616,-58.4224036148088,"Programmatic organ",52,47
"CABA",-34.6075,-58.4371,"VILLA RUMIPAL",-32.1893832757006,-64.4792058830229,"Programmatic organ",52,622
"Campo de Mayo",-34.5550627752485,-58.6522136037965,"LA TABLADA",-34.686462325254,-58.5256461385691,"Anchored organ",52,19
"General Rodríguez",-34.6082064832342,-58.9510798915332,"CASEROS",-34.6079360429362,-58.5639388527613,"Programmatic organ",52,35
"CABA",-34.6075,-58.4371,"REMEDIOS DE ESCALADA DE SAN MARTIN",-34.7259102843799,-58.3967018532792,"Programmatic organ",51,14
"CABA",-34.6075,-58.4371,"GENERAL MANSILLA",-35.0797217208605,-57.7468870241048,"Anchored organ",50,82
"CABA",-34.6075,-58.4371,"RIO CUARTO",-33.1238369342208,-64.3490032179798,"Programmatic organ",50,570
"Campo de Mayo",-34.5550627752485,-58.6522136037965,"GONZALEZ CATAN",-34.773025312187,-58.6440393936429,"Anchored organ",50,24
"El Palomar",-34.6108556165017,-58.5956810077115,"CIUDADELA",-34.6379153169712,-58.5393433409443,"Anchored organ",50,6
"El Palomar",-34.6108556165017,-58.5956810077115,"RAMOS MEJIA",-34.6454993387505,-58.5596657431949,"Programmatic organ",50,5
"Eldorado",-26.4088769640649,-54.6070530398259,"ELDORADO",-26.4088769640649,-54.6070530398259,"Anchored organ",50,0
"Posadas",-27.3664259799962,-55.8939802751923,"PASO DE LOS LIBRES",-29.7137148107283,-57.085405398509,"Anchored organ",50,286
"CABA",-34.6075,-58.4371,"LANUS OESTE",-34.7037709376997,-58.4005603089343,"Anchored organ",49,11
"Resistencia",-27.4510757112285,-58.9864835287395,"RAMOS MEJIA",-34.6454993387505,-58.5596657431949,"Anchored organ",49,801
"Tandil",-37.3286954825526,-59.1368975569569,"MANUEL B. GONNET",-34.8818546802863,-58.0103208206183,"Anchored organ",49,290
"CABA",-34.6075,-58.4371,"GUAYMALLEN",-32.9000520819732,-68.7876776306296,"Programmatic organ",48,975
"CABA",-34.6075,-58.4371,"Olivos",-34.5093203722724,-58.4813961688058,"Anchored organ",48,12
"CABA",-34.6075,-58.4371,"RANELAGH",-34.7877872381146,-58.203185368401,"Programmatic organ",48,29
"Mar del Plata",-38.0064494189987,-57.5438377776641,"CORDOBA",-31.4150461523809,-64.1791140755104,"Programmatic organ",48,951
"Trelew",-43.2531867505795,-65.3093805893395,"BAHIA BLANCA",-38.7227702772442,-62.2727419998288,"Anchored organ",48,564
"Bahía Blanca",-38.7227702772442,-62.2727419998288,"CABA",-34.6075,-58.4371,"Anchored organ",47,571
"CABA",-34.6075,-58.4371,"GODOY CRUZ",-32.925334570321,-68.8442814633876,"Anchored organ",47,980
"CABA",-34.6075,-58.4371,"GODOY CRUZ",-32.925334570321,-68.8442814633876,"Programmatic organ",47,980
"CABA",-34.6075,-58.4371,"LOS POLVORINES",-34.5020886294655,-58.6949943511423,"Programmatic organ",47,26
"CABA",-34.6075,-58.4371,"SANTOS LUGARES",-34.6030070341394,-58.5408249597318,"Programmatic organ",47,10
"Mendoza",-32.8897325533642,-68.8444442314254,"LUJAN DE CUYO",-33.0391708753668,-68.8795523174873,"Anchored organ",47,17
"CABA",-34.6075,-58.4371,"SAN CARLOS DE BARILOCHE",-41.1358081611304,-71.3043392567773,"Programmatic organ",46,1340
"San Carlos de Bariloche",-41.1358081611304,-71.3043392567773,"SAN CARLOS DE BARILOCHE",-41.1358081611304,-71.3043392567773,"Anchored organ",46,0
"CABA",-34.6075,-58.4371,"GONZALEZ CATAN",-34.773025312187,-58.6440393936429,"Programmatic organ",45,26
"CABA",-34.6075,-58.4371,"VILLA MERCEDES",-33.6803646800407,-65.4697478338235,"Anchored organ",45,655
"Paraná",-31.7401601621031,-60.5274260494443,"CABA",-34.6075,-58.4371,"Anchored organ",45,373
"Paraná",-31.7401601621031,-60.5274260494443,"RAMOS MEJIA",-34.6454993387505,-58.5596657431949,"Anchored organ",45,371
"Punta Alta",-38.8781733532983,-62.0794804613607,"SAN ANDRES",-26.8881787226155,-65.1935520331529,"Anchored organ",45,1364
"Boulogne Sur Mer",-34.5094800482416,-58.5669108609788,"Hurlingham",-34.5898383931687,-58.6374166101562,"Anchored organ",44,11
"CABA",-34.6075,-58.4371,"Olivos",-34.5093203722724,-58.4813961688058,"Programmatic organ",44,12
"CABA",-34.6075,-58.4371,"POSADAS",-27.3664259799962,-55.8939802751923,"Anchored organ",44,841
"CABA",-34.6075,-58.4371,"SAN MIGUEL DE TUCUMAN",-26.8303887617109,-65.2037797033494,"Programmatic organ",44,1079
"Córdoba",-31.4150461523809,-64.1791140755104,"CASTELAR",-34.6518205338135,-58.6460475077958,"Anchored organ",44,629
"Formosa",-26.185008983147,-58.1748964834654,"CORRIENTES",-27.4633450136008,-58.8394728460849,"Anchored organ",44,157
"Mar del Plata",-38.0064494189987,-57.5438377776641,"MONTE CASEROS",-30.2494229600191,-57.6294817667543,"Anchored organ",44,863
"Resistencia",-27.4510757112285,-58.9864835287395,"CABA",-34.6075,-58.4371,"Anchored organ",44,797
"Resistencia",-27.4510757112285,-58.9864835287395,"MONTE CASEROS",-30.2494229600191,-57.6294817667543,"Anchored organ",44,338
"Santo Tomé",-28.5498158069218,-56.0348110765932,"MONTE CASEROS",-30.2494229600191,-57.6294817667543,"Anchored organ",44,244
"Tartagal",-22.5168183262948,-63.8056049178567,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",44,1442
"Boulogne Sur Mer",-34.5094800482416,-58.5669108609788,"ITUZAINGO",-34.6603884942507,-58.6661675132925,"Anchored organ",43,19
"CABA",-34.6075,-58.4371,"VILLA CARLOS PAZ",-31.4179169402695,-64.4940291640464,"Anchored organ",43,667
"CABA",-34.6075,-58.4371,"VILLA MARIA",-32.4135041930881,-63.248329032642,"Programmatic organ",43,508
"Campo de Mayo",-34.5550627752485,-58.6522136037965,"CASTELAR",-34.6518205338135,-58.6460475077958,"Anchored organ",43,11
"Formosa",-26.185008983147,-58.1748964834654,"CORDOBA",-31.4150461523809,-64.1791140755104,"Anchored organ",43,825
"Mar del Plata",-38.0064494189987,-57.5438377776641,"PUNTA ALTA",-38.8781733532983,-62.0794804613607,"Anchored organ",43,407
"Uspallata",-32.5911328492886,-69.3478325007629,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",43,1035
"CABA",-34.6075,-58.4371,"BELLA VISTA",-34.5682733387092,-58.6820583867252,"Programmatic organ",42,23
"CABA",-34.6075,-58.4371,"SAN RAFAEL",-34.617774866545,-68.3356449365043,"Programmatic organ",42,905
"CABA",-34.6075,-58.4371,"Sáenz Peña",-34.6001485700585,-58.5276332441297,"Programmatic organ",42,8
"CABA",-34.6075,-58.4371,"Vicente López",-34.5257404584867,-58.4741498273926,"Programmatic organ",42,10
"Campo de Mayo",-34.5550627752485,-58.6522136037965,"MONTE CASEROS",-30.2494229600191,-57.6294817667543,"Anchored organ",42,488
"Campo de Mayo",-34.5550627752485,-58.6522136037965,"SAN FERNANDO",-34.4436592867769,-58.5586455411774,"Anchored organ",42,15
"General Rodríguez",-34.6082064832342,-58.9510798915332,"MUNRO",-34.5298047274022,-58.525182801606,"Programmatic organ",42,40
"Salta",-24.7831983811283,-65.4102509654276,"SALTA",-24.7831983811283,-65.4102509654276,"Programmatic organ",42,0
"San Carlos de Bariloche",-41.1358081611304,-71.3043392567773,"CORDOBA",-31.4150461523809,-64.1791140755104,"Programmatic organ",42,1254
"Santo Tomé",-28.5498158069218,-56.0348110765932,"SANTA FE",-31.6574749533861,-60.7104784410123,"Anchored organ",42,567
"Ushuaia",-54.8074039816905,-68.3037571781958,"MAR DEL PLATA",-38.0064494189987,-57.5438377776641,"Anchored organ",42,2037
"CABA",-34.6075,-58.4371,"Santa Fe",-31.6574749533861,-60.7104784410123,"Programmatic organ",41,390
"CABA",-34.6075,-58.4371,"TAPIALES",-34.6990522094808,-58.5078575449595,"Programmatic organ",41,12
"CABA",-34.6075,-58.4371,"caba",-34.6075,-58.4371,"Programmatic organ",41,0
"Corrientes",-27.4633450136008,-58.8394728460849,"RESISTENCIA",-27.4510757112285,-58.9864835287395,"Anchored organ",41,15
"Córdoba",-31.4150461523809,-64.1791140755104,"JESUS MARIA",-30.9761309355354,-64.0957931680719,"Anchored organ",41,49
"Paraná",-31.7401601621031,-60.5274260494443,"MONTE CASEROS",-30.2494229600191,-57.6294817667543,"Anchored organ",41,322
"Punta Alta",-38.8781733532983,-62.0794804613607,"MONTE CASEROS",-30.2494229600191,-57.6294817667543,"Anchored organ",41,1042
"Santa Fe",-31.6574749533861,-60.7104784410123,"CORDOBA",-31.4150461523809,-64.1791140755104,"Anchored organ",41,330
"Santo Tomé",-28.5498158069218,-56.0348110765932,"LA PAZ",-30.7404766242794,-59.6443012787354,"Anchored organ",41,425
"CABA",-34.6075,-58.4371,"Lanus Oeste",-34.7037709376997,-58.4005603089343,"Programmatic organ",40,11
"CABA",-34.6075,-58.4371,"MONTE GRANDE",-34.8163557987773,-58.4682642320418,"Anchored organ",40,23
"CABA",-34.6075,-58.4371,"SAN FERNANDO",-34.4436592867769,-58.5586455411774,"Anchored organ",40,21
"Campo de Mayo",-34.5550627752485,-58.6522136037965,"BAHIA BLANCA",-38.7227702772442,-62.2727419998288,"Anchored organ",40,565
"Córdoba",-31.4150461523809,-64.1791140755104,"MAR DEL PLATA",-38.0064494189987,-57.5438377776641,"Anchored organ",40,951
"El Palomar",-34.6108556165017,-58.5956810077115,"LA PLATA",-34.9154959630273,-57.9479884807815,"Programmatic organ",40,68
"Salta",-24.7831983811283,-65.4102509654276,"SAN MIGUEL DE TUCUMAN",-26.8303887617109,-65.2037797033494,"Anchored organ",40,229
"Ushuaia",-54.8074039816905,-68.3037571781958,"RIO GRANDE",-53.7863260891398,-67.6963281355519,"Anchored organ",40,120
"CABA",-34.6075,-58.4371,"BURZACO",-34.8281717078487,-58.391033876775,"Programmatic organ",39,25
"CABA",-34.6075,-58.4371,"Haedo",-34.6436075977527,-58.5945223728959,"Programmatic organ",39,15
"CABA",-34.6075,-58.4371,"LUJAN",-34.5668483579023,-59.1145118021941,"Programmatic organ",39,62
"CABA",-34.6075,-58.4371,"REMEDIOS DE ESCALADA DE SAN MARTIN",-34.7259102843799,-58.3967018532792,"Anchored organ",39,14
"Córdoba",-31.4150461523809,-64.1791140755104,"VILLA MARIA",-32.4135041930881,-63.248329032642,"Anchored organ",39,142
"Río Gallegos",-51.6234632663739,-69.2158645331237,"COMODORO RIVADAVIA",-45.8625644045819,-67.494000786158,"Anchored organ",39,653
"San Luis",-33.3020864829706,-66.336854573535,"SAN LUIS",-33.3020864829706,-66.336854573535,"Anchored organ",39,0
"Trelew",-43.2531867505795,-65.3093805893395,"ESQUEL",-42.9173207104894,-71.3215725535306,"Anchored organ",39,490
"CABA",-34.6075,-58.4371,"CURUZU CUATIA",-29.7914512117216,-58.0498588056217,"Anchored organ",38,537
"CABA",-34.6075,-58.4371,"SAN ANTONIO DE ARECO",-34.2436381342556,-59.4736523437539,"Anchored organ",38,103
"CABA",-34.6075,-58.4371,"SAN CARLOS DE BARILOCHE",-41.1358081611304,-71.3043392567773,"Anchored organ",38,1340
"CABA",-34.6075,-58.4371,"SAN FRANCISCO SOLANO",-34.7856525531101,-58.3195680327004,"Anchored organ",38,23
"CABA",-34.6075,-58.4371,"VISTA FLORES",-33.6508757520733,-69.1557603957753,"Anchored organ",38,992
"Campo de Mayo",-34.5550627752485,-58.6522136037965,"MARTINEZ",-34.4890104372004,-58.499380135853,"Anchored organ",38,16
"El Palomar",-34.6108556165017,-58.5956810077115,"CIUDAD JARDIN LOMAS DEL PALOMAR",-34.6020571077223,-58.5918129323397,"Anchored organ",38,1
"Esquel",-42.9173207104894,-71.3215725535306,"ESQUEL",-42.9173207104894,-71.3215725535306,"Anchored organ",38,0
"Mendoza",-32.8897325533642,-68.8444442314254,"CORDOBA",-31.4150461523809,-64.1791140755104,"Programmatic organ",38,469
"Resistencia",-27.4510757112285,-58.9864835287395,"ROSARIO",-32.9472133838031,-60.6331755763544,"Anchored organ",38,631
"Santa Fe",-31.6574749533861,-60.7104784410123,"CABA",-34.6075,-58.4371,"Anchored organ",38,390
"Bahía Blanca",-38.7227702772442,-62.2727419998288,"MONTE CASEROS",-30.2494229600191,-57.6294817667543,"Anchored organ",37,1033
"CABA",-34.6075,-58.4371,"BOSQUES",-34.8166106308631,-58.2313139527388,"Programmatic organ",37,30
"CABA",-34.6075,-58.4371,"GENERAL PACHECO",-34.454922848233,-58.6341494353431,"Programmatic organ",37,25
"Campo de Mayo",-34.5550627752485,-58.6522136037965,"LOS POLVORINES",-34.5020886294655,-58.6949943511423,"Anchored organ",37,7
"El Palomar",-34.6108556165017,-58.5956810077115,"HURLINGHAM",-34.5898383931687,-58.6374166101562,"Anchored organ",37,4
"San Carlos de Bariloche",-41.1358081611304,-71.3043392567773,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",37,1340
"San Pedro",-33.6759480318045,-59.6630158141548,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",37,153
"Santo Tomé",-28.5498158069218,-56.0348110765932,"ROSARIO",-32.9472133838031,-60.6331755763544,"Anchored organ",37,657
"CABA",-34.6075,-58.4371,"FLORENCIO VARELA",-34.8044367902128,-58.2792527723518,"Programmatic organ",36,26
"CABA",-34.6075,-58.4371,"LAS HERAS",-32.850341601842,-68.840520401658,"Programmatic organ",36,981
"CABA",-34.6075,-58.4371,"RESISTENCIA",-27.4510757112285,-58.9864835287395,"Anchored organ",36,797
"CABA",-34.6075,-58.4371,"SUNCHALES",-30.945077034013,-61.5606621388413,"Programmatic organ",36,501
"Boulogne Sur Mer",-34.5094800482416,-58.5669108609788,"CASTELAR",-34.6518205338135,-58.6460475077958,"Anchored organ",35,17
"Boulogne Sur Mer",-34.5094800482416,-58.5669108609788,"MONTE CASEROS",-30.2494229600191,-57.6294817667543,"Anchored organ",35,482
"CABA",-34.6075,-58.4371,"ESPERANZA",-31.4488900966564,-60.9301528760774,"Programmatic organ",35,421
"CABA",-34.6075,-58.4371,"Parana",-31.7401601621031,-60.5274260494443,"Programmatic organ",35,373
"CABA",-34.6075,-58.4371,"RINCON DE MILBERG",-34.4104604155702,-58.6019963050247,"Anchored organ",35,27
"Campo de Mayo",-34.5550627752485,-58.6522136037965,"CIUDAD JARDIN LOMAS DEL PALOMAR",-34.6020571077223,-58.5918129323397,"Anchored organ",35,8
"El Palomar",-34.6108556165017,-58.5956810077115,"CASEROS",-34.6079360429362,-58.5639388527613,"Anchored organ",35,3
"Quilmes",-34.7200676236621,-58.254346982141,"CABA",-34.6075,-58.4371,"Anchored organ",35,21
"Santo Tomé",-28.5498158069218,-56.0348110765932,"CABA",-34.6075,-58.4371,"Anchored organ",35,711
"Aguaray",-22.2448726575794,-63.7353344088724,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",34,1468
"Bahía Blanca",-38.7227702772442,-62.2727419998288,"CORDOBA",-31.4150461523809,-64.1791140755104,"Anchored organ",34,831
"Bahía Blanca",-38.7227702772442,-62.2727419998288,"CORONEL PRINGLES",-37.9856677754422,-61.3503974314576,"Anchored organ",34,115
"CABA",-34.6075,-58.4371,"El Palomar",-34.6108556165017,-58.5956810077115,"Anchored organ",34,15
"CABA",-34.6075,-58.4371,"FUNES",-32.920864509257,-60.8114362900311,"Anchored organ",34,289
"CABA",-34.6075,-58.4371,"JOSE C. PAZ",-34.5217463442325,-58.7553740815986,"Programmatic organ",34,31
"CABA",-34.6075,-58.4371,"RADA TILLY",-45.9249664502277,-67.5537244366415,"Anchored organ",34,1475
"Campo de Mayo",-34.5550627752485,-58.6522136037965,"RAMOS MEJIA",-34.6454993387505,-58.5596657431949,"Anchored organ",34,13
"Campo de Mayo",-34.5550627752485,-58.6522136037965,"VILLA LYNCH",-34.5921434513227,-58.5240586094847,"Anchored organ",34,12
"Posadas",-27.3664259799962,-55.8939802751923,"MONTE CASEROS",-30.2494229600191,-57.6294817667543,"Anchored organ",34,362
"Villa Maipú",-34.568894989108,-58.5244410540779,"BAHIA BLANCA",-38.7227702772442,-62.2727419998288,"Programmatic organ",34,570
"CABA",-34.6075,-58.4371,"ADROGUE",-34.7973726678595,-58.3884529337359,"Anchored organ",33,22
"CABA",-34.6075,-58.4371,"EL JAGUEL",-34.8308533167404,-58.4948836966085,"Anchored organ",33,25
"CABA",-34.6075,-58.4371,"LUJAN",-34.5668483579023,-59.1145118021941,"Anchored organ",33,62
"CABA",-34.6075,-58.4371,"SALTA",-24.7831983811283,-65.4102509654276,"Programmatic organ",33,1282
"CABA",-34.6075,-58.4371,"WILDE",-34.7040788191542,-58.3172095095929,"Programmatic organ",33,15
"Comodoro Rivadavia",-45.8625644045819,-67.494000786158,"MONTE CASEROS",-30.2494229600191,-57.6294817667543,"Anchored organ",33,1935
"Concepción del Uruguay",-32.4846612655344,-58.2321207793941,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",33,237
"Córdoba",-31.4150461523809,-64.1791140755104,"CASEROS",-34.6079360429362,-58.5639388527613,"Anchored organ",33,632
"El Palomar",-34.6108556165017,-58.5956810077115,"CASEROS",-34.6079360429362,-58.5639388527613,"Programmatic organ",33,3
"General Rodríguez",-34.6082064832342,-58.9510798915332,"BAHIA BLANCA",-38.7227702772442,-62.2727419998288,"Programmatic organ",33,545
"General Rodríguez",-34.6082064832342,-58.9510798915332,"CORDOBA",-31.4150461523809,-64.1791140755104,"Programmatic organ",33,603
"Mendoza",-32.8897325533642,-68.8444442314254,"MENDOZA",-32.8897325533642,-68.8444442314254,"Programmatic organ",33,0
"San Ignacio",-27.2586133303264,-55.5389747941103,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",33,863
"Sinsacate",-30.9429292725557,-64.0940329405365,"JESUS MARIA",-30.9761309355354,-64.0957931680719,"Anchored organ",33,4
"Tandil",-37.3286954825526,-59.1368975569569,"MAR DEL PLATA",-38.0064494189987,-57.5438377776641,"Anchored organ",33,159
"Villa Maipú",-34.568894989108,-58.5244410540779,"CABA",-34.6075,-58.4371,"Programmatic organ",33,9
"Boulogne Sur Mer",-34.5094800482416,-58.5669108609788,"HURLINGHAM",-34.5898383931687,-58.6374166101562,"Anchored organ",32,11
"CABA",-34.6075,-58.4371,"SAN FRANCISCO SOLANO",-34.7856525531101,-58.3195680327004,"Programmatic organ",32,23
"CABA",-34.6075,-58.4371,"Vicente López",-34.5257404584867,-58.4741498273926,"Anchored organ",32,10
"Paraná",-31.7401601621031,-60.5274260494443,"Rosario",-32.9472133838031,-60.6331755763544,"Anchored organ",32,135
"Salta",-24.7831983811283,-65.4102509654276,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Programmatic organ",32,1282
"Tandil",-37.3286954825526,-59.1368975569569,"TANDIL",-37.3286954825526,-59.1368975569569,"Anchored organ",32,0
"Zárate",-34.0989165196293,-59.0296629320907,"CABA",-34.6075,-58.4371,"Anchored organ",32,78
"CABA",-34.6075,-58.4371,"NEUQUEN",-38.9518288206176,-68.0591813073308,"Programmatic organ",31,983
"CABA",-34.6075,-58.4371,"SAN JUAN",-31.5372590360945,-68.5250172058885,"Programmatic organ",31,999
"Córdoba",-31.4150461523809,-64.1791140755104,"LOMAS DE ZAMORA",-34.7596127748886,-58.3994691356768,"Anchored organ",31,654
"El Palomar",-34.6108556165017,-58.5956810077115,"SAN ANDRES",-26.8881787226155,-65.1935520331529,"Anchored organ",31,1065
"La Rioja",-29.412884219358,-66.8558279775847,"PIGÜE",-37.6025487129648,-62.4083614847022,"Anchored organ",31,999
"Paraná",-31.7401601621031,-60.5274260494443,"BAHIA BLANCA",-38.7227702772442,-62.2727419998288,"Anchored organ",31,792
"Punta Indio",-35.2685627801267,-57.2474704888542,"LOMAS DE ZAMORA",-34.7596127748886,-58.3994691356768,"Anchored organ",31,119
"Río Santiago",-34.8513758,-57.8868726,"LOMAS DE ZAMORA",-34.7596127748886,-58.3994691356768,"Anchored organ",31,48
"San Carlos de Bariloche",-41.1358081611304,-71.3043392567773,"LA PLATA",-34.9154959630273,-57.9479884807815,"Programmatic organ",31,1357
"San Carlos de Bariloche",-41.1358081611304,-71.3043392567773,"MONTE CASEROS",-30.2494229600191,-57.6294817667543,"Programmatic organ",31,1725
"Boulogne Sur Mer",-34.5094800482416,-58.5669108609788,"CABA",-34.6075,-58.4371,"Anchored organ",30,16
"CABA",-34.6075,-58.4371,"ALTA GRACIA",-31.6497921262742,-64.429871976201,"Anchored organ",30,648
"CABA",-34.6075,-58.4371,"viedma",-40.8083677299022,-62.9949287297467,"Programmatic organ",30,797
"Campo de Mayo",-34.5550627752485,-58.6522136037965,"TANDIL",-37.3286954825526,-59.1368975569569,"Anchored organ",30,311
"El Palomar",-34.6108556165017,-58.5956810077115,"CORDOBA",-31.4150461523809,-64.1791140755104,"Programmatic organ",30,630
"Lihué Calel",-38.0041979,-65.5948505,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",30,744
"Mendoza",-32.8897325533642,-68.8444442314254,"MONTE CASEROS",-30.2494229600191,-57.6294817667543,"Anchored organ",30,1102
"Puerto Iguazú",-25.5972100979327,-54.5772230013845,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",30,1068
"Quilmes",-34.7200676236621,-58.254346982141,"CORDOBA",-31.4150461523809,-64.1791140755104,"Anchored organ",30,663
"Río Cuarto",-33.1238369342208,-64.3490032179798,"CABA",-34.6075,-58.4371,"Anchored organ",30,570
"Río Gallegos",-51.6234632663739,-69.2158645331237,"RIO CUARTO",-33.1238369342208,-64.3490032179798,"Anchored organ",30,2094
"Salta",-24.7831983811283,-65.4102509654276,"SAN SALVADOR DE JUJUY",-24.1858286711634,-65.2994830799205,"Anchored organ",30,67
"San Juan",-31.5372590360945,-68.5250172058885,"CORDOBA",-31.4150461523809,-64.1791140755104,"Anchored organ",30,412
"Santo Tomé",-28.5498158069218,-56.0348110765932,"VILLA CARLOS PAZ",-31.4179169402695,-64.4940291640464,"Anchored organ",30,875
"Tandil",-37.3286954825526,-59.1368975569569,"RAMOS MEJIA",-34.6454993387505,-58.5596657431949,"Anchored organ",30,303
"CABA",-34.6075,-58.4371,"DEL VISO",-34.4760818203661,-58.799352148364,"Programmatic organ",29,36
"CABA",-34.6075,-58.4371,"RIO GRANDE",-53.7863260891398,-67.6963281355519,"Anchored organ",29,2252
"CABA",-34.6075,-58.4371,"RIO GRANDE",-53.7863260891398,-67.6963281355519,"Programmatic organ",29,2252
"Campo de Mayo",-34.5550627752485,-58.6522136037965,"ITUZAINGO",-34.6603884942507,-58.6661675132925,"Anchored organ",29,12
"Campo de Mayo",-34.5550627752485,-58.6522136037965,"MERCEDES",-34.6507332109012,-59.43138744045,"Anchored organ",29,72
"Comodoro Rivadavia",-45.8625644045819,-67.494000786158,"CORDOBA",-31.4150461523809,-64.1791140755104,"Anchored organ",29,1632
"Formosa",-26.185008983147,-58.1748964834654,"RESISTENCIA",-27.4510757112285,-58.9864835287395,"Anchored organ",29,162
"General Rodríguez",-34.6082064832342,-58.9510798915332,"LA PLATA",-34.9154959630273,-57.9479884807815,"Programmatic organ",29,98
"Mar del Plata",-38.0064494189987,-57.5438377776641,"ROSARIO",-32.9472133838031,-60.6331755763544,"Anchored organ",29,628
"Mendoza",-32.8897325533642,-68.8444442314254,"LAS HERAS",-32.850341601842,-68.840520401658,"Anchored organ",29,4
"Oberá",-27.4867909555976,-55.1200569831231,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",29,852
"Paraná",-31.7401601621031,-60.5274260494443,"CASTELAR",-34.6518205338135,-58.6460475077958,"Anchored organ",29,368
"Perito Moreno",-46.5938169680365,-70.9299116754894,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",29,1695
"Punta Alta",-38.8781733532983,-62.0794804613607,"VILLA BALLESTER",-34.5480834920372,-58.5570844833764,"Anchored organ",29,575
"Resistencia",-27.4510757112285,-58.9864835287395,"CORRIENTES",-27.4633450136008,-58.8394728460849,"Anchored organ",29,15
"Río Gallegos",-51.6234632663739,-69.2158645331237,"CABA",-34.6075,-58.4371,"Anchored organ",29,2079
"San Carlos de Bariloche",-41.1358081611304,-71.3043392567773,"SAN LUIS",-33.3020864829706,-66.336854573535,"Programmatic organ",29,975
"Torres",-34.4309916604575,-59.1278642374609,"LUJAN",-34.5668483579023,-59.1145118021941,"Programmatic organ",29,15
"Bahía Blanca",-38.7227702772442,-62.2727419998288,"MAR DEL PLATA",-38.0064494189987,-57.5438377776641,"Anchored organ",28,420
"CABA",-34.6075,-58.4371,"CLAYPOLE",-34.7975588663845,-58.3352044170245,"Programmatic organ",28,23
"CABA",-34.6075,-58.4371,"LA RIOJA",-29.412884219358,-66.8558279775847,"Programmatic organ",28,981
"CABA",-34.6075,-58.4371,"MAIPU",-32.9846197818192,-68.7882090175496,"Programmatic organ",28,973
"CABA",-34.6075,-58.4371,"USHUAIA",-54.8074039816905,-68.3037571781958,"Programmatic organ",28,2372
"Campo de Mayo",-34.5550627752485,-58.6522136037965,"LOMAS DE ZAMORA",-34.7596127748886,-58.3994691356768,"Anchored organ",28,32
"Clorinda",-25.2860808806453,-57.7224081997743,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",28,1039
"Córdoba",-31.4150461523809,-64.1791140755104,"ALTA GRACIA",-31.6497921262742,-64.429871976201,"Anchored organ",28,35
"El Palomar",-34.6108556165017,-58.5956810077115,"CABA",-34.6075,-58.4371,"Anchored organ",28,15
"Ituzaingó",-27.5851000792357,-56.68704523972,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",28,798
"Neuquén",-38.9518288206176,-68.0591813073308,"NEUQUEN",-38.9518288206176,-68.0591813073308,"Anchored organ",28,0
"Río Gallegos",-51.6234632663739,-69.2158645331237,"CASEROS",-34.6079360429362,-58.5639388527613,"Anchored organ",28,2075
"Río Gallegos",-51.6234632663739,-69.2158645331237,"la plata",-34.9154959630273,-57.9479884807815,"Anchored organ",28,2064
"San Martín de los Andes",-40.1569379390652,-71.352714325536,"Ciudad Autónoma de Buenos Aires",-34.6075,-58.4371,"Anchored organ",28,1295
"Villa María",-32.4135041930881,-63.248329032642,"VILLA MARIA",-32.4135041930881,-63.248329032642,"Anchored organ",28,0
"CABA",-34.6075,-58.4371,"CAPITAL FEDERAL",-34.6075,-58.4371,"Programmatic organ",27,0
"CABA",-34.6075,-58.4371,"SAN FDO DEL VALLE DE CATAMARCA",-28.4690132409229,-65.7789173519908,"Anchored organ",27,974
"CABA",-34.6075,-58.4371,"SAN JUSTO",-34.6811417496029,-58.563738604389,"Anchored organ",27,14
