"prueba","estadistico","p","provincias"
"Kruskal-Wallis entre estratos, RV con pasivacion provincial a n = 150",4.235,0.12,12
"Kruskal-Wallis entre estratos, congruencia del eje 2 observada",3.599,0.165,12
