"provincia","estrato","rv"
"CABA","core",0.3756
"CABA","core",0.5027
"CABA","core",0.3541
"CABA","core",0.4398
"CABA","core",0.3776
"CABA","core",0.3368
"CABA","core",0.2821
"CABA","core",0.3799
"CABA","core",0.3449
"CABA","core",0.4653
"CABA","core",0.2778
"CABA","core",0.2965
"CABA","core",0.482
"CABA","core",0.3905
"CABA","core",0.1867
"CABA","core",0.568
"CABA","core",0.3622
"CABA","core",0.3286
"CABA","core",0.1963
"CABA","core",0.3028
"CABA","core",0.2433
"CABA","core",0.3051
"CABA","core",0.3462
"CABA","core",0.4928
"CABA","core",0.2646
"CABA","core",0.3116
"CABA","core",0.552
"CABA","core",0.3567
"CABA","core",0.3495
"CABA","core",0.5139
"CABA","core",0.4064
"CABA","core",0.298
"CABA","core",0.3485
"Buenos Aires","core",0.5829
"Buenos Aires","core",0.5265
"Buenos Aires","core",0.4409
"Buenos Aires","core",0.5978
"Buenos Aires","core",0.412
"Buenos Aires","core",0.4687
"Buenos Aires","core",0.4057
"Buenos Aires","core",0.5108
"Buenos Aires","core",0.4491
"Buenos Aires","core",0.6586
"Buenos Aires","core",0.6099
"Buenos Aires","core",0.6295
"Buenos Aires","core",0.4021
"Buenos Aires","core",0.595
"Buenos Aires","core",0.4403
"Buenos Aires","core",0.6105
"Buenos Aires","core",0.4128
"Buenos Aires","core",0.4863
"Buenos Aires","core",0.3755
"Buenos Aires","core",0.5034
"Buenos Aires","core",0.5272
"Buenos Aires","core",0.4222
"Buenos Aires","core",0.4913
"Buenos Aires","core",0.3008
"Buenos Aires","core",0.3848
"Buenos Aires","core",0.4132
"Buenos Aires","core",0.4465
"Buenos Aires","core",0.4864
"Buenos Aires","core",0.6439
"Buenos Aires","core",0.6147
"Buenos Aires","core",0.4461
"Buenos Aires","core",0.4762
"Buenos Aires","core",0.5269
"Buenos Aires","core",0.5634
"Buenos Aires","core",0.6646
"Buenos Aires","core",0.4392
"Buenos Aires","core",0.5469
"Buenos Aires","core",0.493
"Buenos Aires","core",0.492
"Buenos Aires","core",0.5416
"Buenos Aires","core",0.3438
"Buenos Aires","core",0.5258
"Buenos Aires","core",0.6334
"Buenos Aires","core",0.4293
"Buenos Aires","core",0.6193
"Buenos Aires","core",0.4864
"Buenos Aires","core",0.4282
"Buenos Aires","core",0.4398
"Buenos Aires","core",0.61
"Buenos Aires","core",0.6151
"Buenos Aires","core",0.3972
"Buenos Aires","core",0.5309
"Buenos Aires","core",0.438
"Buenos Aires","core",0.6098
"Buenos Aires","core",0.5862
"Buenos Aires","core",0.3903
"Buenos Aires","core",0.6392
"Buenos Aires","core",0.3999
"Buenos Aires","core",0.5102
"Buenos Aires","core",0.5867
"Buenos Aires","core",0.4704
"Buenos Aires","core",0.4693
"Buenos Aires","core",0.5707
"Buenos Aires","core",0.5418
"Buenos Aires","core",0.5496
"Buenos Aires","core",0.4285
"Buenos Aires","core",0.6636
"Buenos Aires","core",0.8043
"Buenos Aires","core",0.4013
"Buenos Aires","core",0.4097
"Buenos Aires","core",0.479
"Buenos Aires","core",0.3899
"Buenos Aires","core",0.6722
"Buenos Aires","core",0.5134
"Buenos Aires","core",0.4112
"Buenos Aires","core",0.6895
"Buenos Aires","core",0.4741
"Buenos Aires","core",0.4806
"Buenos Aires","core",0.4395
"Buenos Aires","core",0.529
"Buenos Aires","core",0.4961
"Buenos Aires","core",0.5593
"Buenos Aires","core",0.4721
"Buenos Aires","core",0.4896
"Buenos Aires","core",0.3935
"Buenos Aires","core",0.5075
"Buenos Aires","core",0.4005
"Buenos Aires","core",0.5175
"Buenos Aires","core",0.6732
"Buenos Aires","core",0.5147
"Buenos Aires","core",0.4018
"Buenos Aires","core",0.4355
"Buenos Aires","core",0.5155
"Buenos Aires","core",0.2375
"Buenos Aires","core",0.543
"Buenos Aires","core",0.4931
"Buenos Aires","core",0.5781
"Buenos Aires","core",0.4268
"Buenos Aires","core",0.5635
"Buenos Aires","core",0.51
"Buenos Aires","core",0.7029
"Buenos Aires","core",0.4787
"Buenos Aires","core",0.4232
"Buenos Aires","core",0.3173
"Buenos Aires","core",0.5605
"Buenos Aires","core",0.4052
"Buenos Aires","core",0.7272
"Buenos Aires","core",0.5531
"Buenos Aires","core",0.5351
"Buenos Aires","core",0.6279
"Buenos Aires","core",0.4203
"Buenos Aires","core",0.3708
"Buenos Aires","core",0.5309
"Buenos Aires","core",0.5227
"Buenos Aires","core",0.4646
"Buenos Aires","core",0.5756
"Buenos Aires","core",0.6841
"Buenos Aires","core",0.5388
"Buenos Aires","core",0.5616
"Buenos Aires","core",0.623
"Buenos Aires","core",0.4219
"Buenos Aires","core",0.3696
"Buenos Aires","core",0.6157
"Buenos Aires","core",0.6038
"Buenos Aires","core",0.3619
"Buenos Aires","core",0.6654
"Buenos Aires","core",0.6034
"Buenos Aires","core",0.5549
"Buenos Aires","core",0.374
"Buenos Aires","core",0.4759
"Buenos Aires","core",0.4977
"Buenos Aires","core",0.3885
"Buenos Aires","core",0.6197
"Buenos Aires","core",0.4375
"Buenos Aires","core",0.5933
"Buenos Aires","core",0.3436
"Buenos Aires","core",0.5231
"Buenos Aires","core",0.3213
"Buenos Aires","core",0.6794
"Buenos Aires","core",0.5703
"Buenos Aires","core",0.6017
"Buenos Aires","core",0.6515
"Buenos Aires","core",0.4451
"Buenos Aires","core",0.4179
"Buenos Aires","core",0.43
"Buenos Aires","core",0.3478
"Buenos Aires","core",0.4838
"Buenos Aires","core",0.6489
"Buenos Aires","core",0.5233
