"estrato","provincias","congruencia_media","congruencia_min","congruencia_max","rv_medio","rv_min","rv_max","n_min","n_max"
"core",5,0.805,0.701,0.973,0.637,0.495,0.753,325,3954
"middle",4,0.762,0.689,0.818,0.604,0.535,0.675,155,243
"outer",3,0.772,0.741,0.793,0.465,0.416,0.542,157,228
