"era","punto","clase","dim1","dim2","inercia1","inercia2"
"milei","Formosa","provincia",-0.526926391959735,0.577370506156103,52.5,35.9
"milei","Jujuy","provincia",-0.405876376315924,0.138193680249489,52.5,35.9
"milei","La Pampa","provincia",-0.422277384767748,1.15421244918304,52.5,35.9
"milei","La Rioja","provincia",-0.453186818566262,0.400680467763734,52.5,35.9
"milei","Mendoza","provincia",-0.275355468626181,0.161535157597125,52.5,35.9
"milei","Misiones","provincia",-0.259434671568447,0.328608533559891,52.5,35.9
"milei","Neuquén","provincia",-0.14447684790317,0.500693389632263,52.5,35.9
"milei","Río Negro","provincia",0.0711315363300452,0.337004198783619,52.5,35.9
"milei","Salta","provincia",-0.320174189346831,-0.188079792641893,52.5,35.9
"milei","San Juan","provincia",-0.222770611263512,0.247937068377126,52.5,35.9
"milei","San Luis","provincia",-0.0920599541293843,0.382698137801098,52.5,35.9
"milei","Santa Cruz","provincia",-0.524906290970898,0.612514494497108,52.5,35.9
"milei","Santa Fe","provincia",-0.161556857755013,0.111315524230325,52.5,35.9
"milei","Santiago del Estero","provincia",-0.703991140385795,1.07759401596549,52.5,35.9
"milei","Tierra del Fuego","provincia",-0.529572351950024,0.0292158295103795,52.5,35.9
"milei","Tucumán","provincia",-0.211196454288904,-0.027661400630537,52.5,35.9
"milei","administracion","tipo_organismo",0.0833835741241851,0.302305838284592,52.5,35.9
"milei","ciencia_universidad","tipo_organismo",0.248024040853239,-0.00789003997794902,52.5,35.9
"milei","cultura_educacion","tipo_organismo",0.512918984458817,0.077753315912249,52.5,35.9
"milei","infraestructura","tipo_organismo",-0.507983516378388,0.40766866950906,52.5,35.9
"milei","salud_social","tipo_organismo",0.395827922277349,0.0705605077332205,52.5,35.9
"milei","seguridad_defensa","tipo_organismo",-0.054997857349383,-0.0806005212881562,52.5,35.9
