"d1","d2","n"
-1.06,0.23,9
-1.04,-0.12,16
-1.02,-0.68,7
-1,0.35,36
-0.99,-0.21,13
-0.96,-0.56,39
-0.93,-0.16,2
-0.93,-0.08,64
-0.92,-0.25,1
-0.92,0.38,6
-0.9,0.02,8
-0.9,0.32,10
-0.89,0.23,7
-0.88,-0.16,11
-0.87,-0.36,2
-0.87,-0.04,2
-0.87,0.73,5
-0.86,-0.6,4
-0.86,-0.06,2
-0.86,0.5,41
-0.85,-0.69,2
-0.85,0.32,31
-0.84,-0.19,1
-0.84,0.12,2
-0.84,0.44,38
-0.82,-0.21,24
-0.82,-0.12,14
-0.81,-0.6,20
-0.81,-0.24,13
-0.81,0.13,1
-0.8,-0.8,9
-0.8,-0.47,7
-0.8,0.06,15
-0.8,0.29,3
-0.79,-0.5,8
-0.79,-0.01,2
-0.79,0.51,1
-0.78,-0.12,43
-0.78,0.24,20
-0.78,0.6,1
-0.76,-0.32,6
-0.76,0,14
-0.76,0.05,1
-0.76,0.46,9
-0.75,0.34,1
-0.75,0.37,7
-0.74,-0.67,41
-0.74,-0.31,1
-0.74,-0.02,3
-0.74,0.87,3
-0.73,-0.61,3
-0.73,-0.38,38
-0.73,-0.22,1
-0.73,-0.12,2
-0.73,0.11,3
-0.72,-0.68,1
-0.72,-0.07,2
-0.72,0.08,1
-0.72,0.31,25
-0.71,-0.27,1
-0.71,0.46,35
-0.71,0.81,2
-0.7,-0.36,1
-0.7,-0.2,45
-0.7,-0.14,6
-0.7,0.03,2
-0.7,0.17,3
-0.7,0.26,4
-0.7,0.58,52
-0.69,-0.6,10
-0.69,0.14,2
-0.69,0.35,4
-0.69,0.36,11
-0.68,0.3,3
-0.68,0.38,2
-0.68,0.4,17
-0.68,0.43,2
-0.67,-0.49,11
-0.67,-0.09,10
-0.67,0.21,4
-0.66,-1.05,12
-0.66,-0.56,3
-0.66,-0.27,4
-0.66,-0.01,2
-0.66,0.09,1
-0.66,0.11,3
-0.66,0.21,7
-0.65,-0.62,1
-0.65,-0.51,2
-0.65,-0.15,3
-0.65,-0.12,31
-0.65,0.02,7
-0.65,0.98,4
-0.64,-0.71,28
-0.64,-0.17,3
-0.64,-0.01,38
-0.64,0.11,1
-0.64,0.15,8
-0.64,0.38,19
-0.64,0.75,7
-0.63,-0.8,9
-0.63,-0.57,15
-0.63,0.47,15
-0.62,-0.5,4
-0.62,-0.41,3
-0.62,-0.3,3
-0.62,-0.09,2
-0.62,-0.08,6
-0.62,-0.02,2
-0.62,0.2,8
-0.61,-0.14,2
-0.61,-0.08,3
-0.61,-0.03,7
-0.61,0.33,22
-0.61,0.69,4
-0.6,-0.93,48
-0.6,-0.44,9
-0.6,-0.23,13
-0.6,0.58,2
-0.59,-0.71,8
-0.59,-0.45,7
-0.59,-0.35,2
-0.59,-0.32,13
-0.59,0.04,1
-0.58,-0.59,17
-0.58,-0.41,15
-0.58,-0.22,1
-0.58,-0.16,1
-0.58,-0.05,8
-0.58,0.05,1
-0.58,0.07,1
-0.58,0.23,1
-0.58,0.31,1
-0.58,0.46,22
-0.58,0.54,1
-0.57,-0.53,2
-0.57,-0.45,80
-0.57,-0.33,1
-0.57,-0.29,13
-0.57,-0.13,1
-0.57,0.04,1
-0.57,0.39,9
-0.57,0.96,4
-0.56,-0.62,1
-0.56,-0.61,5
-0.56,-0.04,1
-0.56,-0.03,1
-0.56,0.01,5
-0.56,0.03,12
-0.56,0.17,2
-0.55,-0.24,5
-0.55,-0.09,1
-0.55,0.08,1
-0.55,0.13,2
-0.55,0.28,1
-0.55,0.49,3
-0.55,0.5,2
-0.54,-0.35,4
-0.54,-0.28,4
-0.54,-0.11,32
-0.54,0.09,1
-0.54,0.25,3
-0.54,0.32,2
-0.54,0.36,1
-0.54,0.44,1
-0.54,0.55,14
-0.54,0.58,1
-0.54,0.7,17
-0.53,-0.14,18
-0.53,-0.05,10
-0.53,0.13,1
-0.53,0.14,2
-0.53,0.35,2
-0.53,0.44,10
-0.53,0.71,1
-0.53,1.02,1
-0.52,-0.53,3
-0.52,-0.13,3
-0.52,0.02,4
-0.52,0.22,1
-0.52,0.26,5
-0.52,0.34,2
-0.52,0.38,7
-0.52,0.62,1
-0.51,-0.49,50
-0.51,-0.4,2
-0.51,-0.21,3
-0.51,-0.05,1
-0.51,-0.01,1
-0.51,0.17,6
-0.51,0.36,2
-0.51,1.12,3
-0.5,-0.96,11
-0.5,-0.6,3
-0.5,-0.48,2
-0.5,-0.43,1
-0.5,-0.29,3
-0.5,-0.23,2
-0.5,-0.19,2
-0.5,-0.05,1
-0.5,-0.03,2
-0.5,0.08,1
-0.5,0.13,23
-0.5,0.2,14
-0.5,0.29,6
-0.5,0.57,4
-0.5,0.84,3
-0.49,-1.06,23
-0.49,-0.57,1
-0.49,-0.47,2
-0.49,-0.21,3
-0.49,-0.05,18
-0.49,0.06,3
-0.49,0.29,3
-0.49,0.61,14
-0.49,0.7,3
-0.49,1.06,4
-0.48,-0.56,2
-0.48,-0.53,2
-0.48,0.11,2
-0.48,0.29,1
-0.48,0.35,3
-0.48,0.71,3
-0.47,-0.34,1
-0.47,-0.12,1
-0.47,-0.08,3
-0.47,-0.07,2
-0.47,0.06,1
-0.47,0.07,17
-0.47,0.1,2
-0.47,0.24,2
-0.47,0.27,4
-0.47,0.43,2
-0.47,0.47,15
-0.47,0.84,9
-0.46,-0.71,22
-0.46,-0.49,23
-0.46,-0.18,4
-0.46,0,1
-0.46,0.01,1
-0.46,0.18,2
-0.46,0.19,1
-0.46,0.23,1
-0.46,0.27,2
-0.46,0.29,5
-0.46,0.56,16
-0.46,0.65,1
-0.46,0.73,7
-0.45,-0.97,21
-0.45,-0.58,31
-0.45,-0.48,4
-0.45,-0.41,12
-0.45,-0.24,1
-0.45,-0.21,2
-0.45,-0.16,1
-0.45,-0.12,1
-0.45,-0.05,9
-0.45,0,1
-0.44,-0.84,18
-0.44,-0.8,1
-0.44,-0.68,1
-0.44,-0.48,1
-0.44,-0.31,12
-0.44,-0.12,3
-0.44,-0.1,2
-0.44,-0.08,1
-0.44,-0.02,1
-0.44,0.08,1
-0.44,0.09,18
-0.44,0.37,1
-0.44,0.46,1
-0.44,0.77,2
-0.43,-0.86,13
-0.43,-0.68,6
-0.43,-0.67,2
-0.43,-0.61,1
-0.43,-0.38,3
-0.43,-0.24,38
-0.43,0.13,1
-0.43,0.14,4
-0.43,0.18,3
-0.43,0.4,5
-0.43,0.54,12
-0.43,0.58,13
-0.43,0.86,1
-0.43,0.87,3
-0.42,-0.73,15
-0.42,-0.63,7
-0.42,-0.47,4
-0.42,-0.37,1
-0.42,-0.09,1
-0.42,-0.01,4
-0.42,0.31,1
-0.42,0.32,4
-0.42,0.62,1
-0.42,1.08,2
-0.41,-0.49,38
-0.41,-0.43,2
-0.41,-0.33,2
-0.41,0,2
-0.41,0.01,1
-0.41,0.02,1
-0.41,0.04,11
-0.41,0.24,12
-0.41,0.26,1
-0.41,0.4,1
-0.41,0.63,2
-0.4,-0.55,1
-0.4,-0.53,2
-0.4,-0.52,5
-0.4,-0.36,27
-0.4,-0.34,3
-0.4,-0.32,2
-0.4,-0.2,1
-0.4,-0.19,2
-0.4,-0.13,1
-0.4,-0.01,1
-0.4,0.1,4
-0.4,0.12,2
-0.4,0.17,1
-0.4,0.29,1
-0.4,0.36,5
-0.4,0.45,2
-0.4,0.46,1
-0.4,0.48,3
-0.4,0.82,4
-0.4,0.85,27
-0.39,-0.61,20
-0.39,-0.25,14
-0.39,-0.2,4
-0.39,-0.15,7
-0.39,-0.13,5
-0.39,-0.05,2
-0.39,0,10
-0.39,0.11,1
-0.39,0.12,8
-0.39,0.17,1
-0.39,0.58,6
-0.39,0.59,14
-0.39,0.67,4
-0.38,-0.68,7
-0.38,-0.56,1
-0.38,-0.55,7
-0.38,-0.39,3
-0.38,-0.19,1
-0.38,-0.17,1
-0.38,-0.12,1
-0.38,-0.08,1
-0.38,0.17,1
-0.38,0.47,5
-0.38,0.49,1
-0.38,0.53,5
-0.37,-0.74,39
-0.37,-0.56,20
-0.37,-0.49,3
-0.37,-0.26,3
-0.37,-0.25,7
-0.37,0.1,2
-0.37,0.41,1
-0.37,0.44,1
-0.37,0.5,3
-0.36,-0.55,2
-0.36,-0.5,1
-0.36,-0.3,1
-0.36,-0.28,1
-0.36,-0.26,6
-0.36,-0.25,1
-0.36,-0.15,2
-0.36,-0.05,9
-0.36,-0.04,1
-0.36,0.11,6
-0.36,0.14,12
-0.36,0.34,13
-0.36,0.53,2
-0.36,0.71,4
-0.36,0.98,5
-0.35,-1.05,2
-0.35,-0.53,7
-0.35,0.09,18
-0.35,0.21,3
-0.35,0.26,2
-0.35,0.41,3
-0.35,0.43,14
-0.35,0.45,1
-0.35,0.84,1
-0.35,1.21,2
-0.34,-0.62,1
-0.34,-0.45,7
-0.34,-0.4,30
-0.34,-0.34,3
-0.34,-0.2,13
-0.34,-0.15,1
-0.34,-0.12,8
-0.34,-0.08,2
-0.34,0.03,1
-0.34,0.15,1
-0.34,0.22,12
-0.34,0.26,1
-0.34,0.43,2
-0.34,0.57,5
-0.34,0.59,1
-0.34,0.64,5
-0.34,0.93,8
-0.33,-0.97,30
-0.33,-0.48,2
-0.33,-0.43,2
-0.33,-0.25,1
-0.33,-0.21,4
-0.33,-0.15,2
-0.33,-0.08,14
-0.33,-0.03,4
-0.33,-0.01,19
-0.33,0.06,1
-0.33,0.38,1
-0.33,0.39,1
-0.32,-0.57,4
-0.32,-0.49,1
-0.32,-0.07,12
-0.32,0.01,1
-0.32,0.04,2
-0.32,0.14,1
-0.32,0.25,1
-0.32,0.33,1
-0.32,0.41,5
-0.32,0.43,10
-0.32,0.59,26
-0.32,0.7,22
-0.32,0.8,4
-0.32,0.96,8
-0.31,-0.02,1
-0.31,0.03,3
-0.31,0.4,1
-0.31,0.41,1
-0.31,0.47,1
-0.31,0.52,8
-0.31,0.6,1
-0.31,0.83,1
-0.3,-0.93,1
-0.3,-0.44,2
-0.3,-0.38,2
-0.3,-0.28,1
-0.3,-0.16,8
-0.3,-0.09,9
-0.3,-0.08,1
-0.3,-0.03,1
-0.3,0.02,3
-0.3,0.11,5
-0.3,0.12,1
-0.3,0.27,1
-0.3,0.33,4
-0.3,0.48,1
-0.3,0.55,1
-0.3,0.91,1
-0.3,1.27,2
-0.29,-0.99,10
-0.29,-0.93,9
-0.29,-0.88,4
-0.29,-0.49,43
-0.29,-0.34,6
-0.29,-0.23,1
-0.29,-0.16,3
-0.29,-0.08,1
-0.29,0,1
-0.29,0.05,5
-0.29,0.09,1
-0.29,0.22,1
-0.29,0.24,1
-0.29,0.27,15
-0.29,0.28,7
-0.29,0.32,3
-0.29,0.41,2
-0.29,0.44,1
-0.29,0.61,7
-0.29,0.63,1
-0.29,0.72,16
-0.28,-0.59,1
-0.28,-0.4,1
-0.28,-0.32,9
-0.28,-0.26,1
-0.28,-0.24,1
-0.28,-0.22,6
-0.28,-0.03,3
-0.28,-0.01,10
-0.28,0.1,2
-0.28,0.14,2
-0.28,0.15,4
-0.28,0.35,3
-0.28,0.38,20
-0.28,0.46,7
-0.28,0.5,2
-0.28,0.73,4
-0.28,0.76,1
-0.28,1.22,13
-0.27,-0.8,2
-0.27,-0.68,1
-0.27,-0.59,2
-0.27,-0.58,3
-0.27,-0.45,1
-0.27,-0.41,2
-0.27,-0.03,3
-0.27,0.1,18
-0.27,0.18,5
-0.27,0.27,5
-0.27,0.43,2
-0.27,0.49,4
-0.27,0.54,1
-0.27,0.58,1
-0.27,0.85,2
-0.26,-0.87,15
-0.26,-0.78,13
-0.26,-0.69,27
-0.26,-0.64,18
-0.26,-0.59,2
-0.26,-0.45,20
-0.26,-0.38,1
-0.26,-0.29,10
-0.26,-0.11,2
-0.26,-0.06,1
-0.26,0,5
-0.26,0.04,1
-0.26,0.06,1
-0.26,0.2,5
-0.26,0.5,11
-0.26,0.62,2
-0.26,0.96,10
-0.25,-0.61,3
-0.25,-0.51,14
-0.25,-0.46,1
-0.25,-0.43,1
-0.25,-0.4,4
-0.25,-0.35,5
-0.25,-0.29,1
-0.25,-0.18,1
-0.25,0.01,2
-0.25,0.03,1
-0.25,0.09,1
-0.25,0.15,16
-0.25,0.32,10
-0.25,0.4,1
-0.25,0.72,2
-0.25,0.81,11
-0.24,-0.81,6
-0.24,-0.39,1
-0.24,-0.37,2
-0.24,-0.19,1
-0.24,-0.11,2
-0.24,-0.07,1
-0.24,-0.03,1
-0.24,-0.01,7
-0.24,0.08,2
-0.24,0.12,4
-0.24,0.22,1
-0.24,0.44,21
-0.24,0.47,1
-0.24,0.54,1
-0.24,0.55,1
-0.24,0.61,16
-0.24,0.71,7
-0.23,-0.81,5
-0.23,-0.72,1
-0.23,-0.53,28
-0.23,-0.35,1
-0.23,-0.33,5
-0.23,-0.2,1
-0.23,-0.15,1
-0.23,-0.11,5
-0.23,-0.05,1
-0.23,0.03,3
-0.23,0.11,1
-0.23,0.24,4
-0.23,0.29,2
-0.23,0.49,1
-0.23,0.52,1
-0.23,0.53,1
-0.23,0.56,10
-0.23,0.58,1
-0.23,0.61,1
-0.23,0.65,8
-0.23,0.67,3
-0.22,-0.78,21
-0.22,-0.6,5
-0.22,-0.59,3
-0.22,-0.47,1
-0.22,-0.41,1
-0.22,-0.3,1
-0.22,-0.29,4
-0.22,-0.21,16
-0.22,-0.17,30
-0.22,-0.14,10
-0.22,-0.05,2
-0.22,-0.03,2
-0.22,0,1
-0.22,0.09,18
-0.22,0.17,5
-0.22,0.2,1
-0.22,0.26,7
-0.22,0.62,1
-0.22,1.02,1
-0.21,-0.7,4
-0.21,-0.53,2
-0.21,-0.33,6
-0.21,-0.12,2
-0.21,-0.09,3
-0.21,0.06,3
-0.21,0.29,8
-0.21,0.38,1
-0.21,0.39,7
-0.21,0.46,26
-0.21,0.49,2
-0.21,0.56,4
-0.21,0.57,7
-0.21,0.59,3
-0.21,0.79,2
-0.21,0.83,4
-0.2,-0.66,12
-0.2,-0.49,3
-0.2,-0.48,2
-0.2,-0.47,17
-0.2,-0.4,2
-0.2,-0.35,1
-0.2,-0.3,2
-0.2,-0.29,1
-0.2,-0.22,1
-0.2,-0.21,1
-0.2,-0.2,1
-0.2,-0.17,1
-0.2,0.01,1
-0.2,0.08,1
-0.2,0.15,3
-0.2,0.18,3
-0.2,0.36,6
-0.2,0.51,4
-0.2,1.07,3
-0.19,-0.96,2
-0.19,-0.55,8
-0.19,-0.46,4
-0.19,-0.44,2
-0.19,-0.42,1
-0.19,-0.38,4
-0.19,-0.34,13
-0.19,-0.27,1
-0.19,-0.24,7
-0.19,-0.17,5
-0.19,-0.06,2
-0.19,0.12,1
-0.19,0.13,16
-0.19,0.29,3
-0.19,0.51,2
-0.19,0.61,3
-0.19,0.96,6
-0.19,1.33,3
-0.18,-1.05,6
-0.18,-0.11,7
-0.18,-0.05,4
-0.18,0.07,5
-0.18,0.1,1
-0.18,0.16,3
-0.18,0.18,5
-0.18,0.34,2
-0.18,0.39,1
-0.18,0.7,1
-0.18,0.73,31
-0.18,1.1,4
-0.17,-0.55,2
-0.17,-0.45,17
-0.17,-0.36,2
-0.17,-0.28,3
-0.17,-0.22,1
-0.17,0,2
-0.17,0.01,8
-0.17,0.07,6
-0.17,0.08,22
-0.17,0.46,1
-0.17,0.47,1
-0.17,0.55,7
-0.17,0.66,4
-0.17,0.82,14
-0.16,-0.41,3
-0.16,-0.34,7
-0.16,-0.23,2
-0.16,-0.16,3
-0.16,-0.15,6
-0.16,-0.04,1
-0.16,0,1
-0.16,0.02,6
-0.16,0.05,4
-0.16,0.07,2
-0.16,0.1,1
-0.16,0.12,6
-0.16,0.22,1
-0.16,0.25,3
-0.16,0.27,2
-0.16,0.41,11
-0.16,0.47,6
-0.16,0.69,1
-0.16,0.78,1
-0.15,-0.58,28
-0.15,-0.48,2
-0.15,-0.41,3
-0.15,-0.2,5
-0.15,-0.02,5
-0.15,-0.01,1
-0.15,0.14,4
-0.15,0.15,1
-0.15,0.21,2
-0.15,0.29,2
-0.15,0.35,1
-0.15,0.37,1
-0.15,0.49,5
-0.15,0.5,5
-0.15,0.55,2
-0.15,0.58,7
-0.15,0.75,8
-0.15,0.92,1
-0.14,-0.84,1
-0.14,-0.55,1
-0.14,-0.49,4
-0.14,-0.41,1
-0.14,-0.37,5
-0.14,-0.29,2
-0.14,-0.1,1
-0.14,-0.07,5
-0.14,-0.05,3
-0.14,0,1
-0.14,0.03,22
-0.14,0.05,2
-0.14,0.1,2
-0.14,0.11,1
-0.14,0.2,7
-0.14,0.24,2
-0.14,0.29,2
-0.14,0.39,1
-0.14,0.42,1
-0.14,0.47,3
-0.14,0.6,1
-0.14,0.64,1
-0.14,0.87,1
-0.13,-0.84,13
-0.13,-0.49,1
-0.13,-0.37,9
-0.13,-0.36,2
-0.13,-0.3,4
-0.13,-0.25,3
-0.13,-0.08,8
-0.13,0.07,1
-0.13,0.1,1
-0.13,0.24,20
-0.13,0.32,3
-0.13,0.36,1
-0.13,0.37,1
-0.13,0.41,2
-0.13,0.7,11
-0.13,0.73,1
-0.13,0.77,1
-0.13,0.99,3
-0.12,-0.94,20
-0.12,-0.9,5
-0.12,-0.86,4
-0.12,-0.47,1
-0.12,-0.36,1
-0.12,-0.23,1
-0.12,-0.15,2
-0.12,-0.06,1
-0.12,0.04,2
-0.12,0.05,1
-0.12,0.12,1
-0.12,0.14,6
-0.12,0.17,1
-0.12,0.21,1
-0.12,0.3,11
-0.12,0.34,1
-0.12,0.44,2
-0.12,0.54,2
-0.12,0.58,4
-0.12,0.66,1
-0.12,0.68,3
-0.12,0.89,1
-0.11,-0.49,2
-0.11,-0.26,4
-0.11,-0.1,1
-0.11,0.05,1
-0.11,0.06,10
-0.11,0.08,1
-0.11,0.1,1
-0.11,0.13,5
-0.11,0.23,1
-0.11,0.24,7
-0.11,0.26,1
-0.11,0.31,1
-0.11,0.46,3
-0.11,0.47,7
-0.11,0.48,1
-0.11,0.62,2
-0.11,0.82,3
-0.11,0.94,3
-0.1,-0.72,6
-0.1,-0.59,2
-0.1,-0.44,1
-0.1,-0.32,1
-0.1,-0.23,1
-0.1,-0.15,1
-0.1,-0.08,2
-0.1,-0.02,4
-0.1,0.04,3
-0.1,0.12,3
-0.1,0.19,12
-0.1,0.22,1
-0.1,0.29,3
-0.1,0.38,3
-0.1,0.48,2
-0.1,0.58,9
-0.1,0.59,7
-0.1,0.68,1
-0.1,0.84,4
-0.1,0.85,11
-0.09,-0.85,2
-0.09,-0.78,20
-0.09,-0.77,1
-0.09,-0.6,39
-0.09,-0.53,3
-0.09,-0.48,1
-0.09,-0.46,2
-0.09,-0.44,1
-0.09,-0.42,8
-0.09,-0.37,1
-0.09,-0.36,10
-0.09,-0.33,1
-0.09,-0.29,2
-0.09,-0.22,1
-0.09,-0.06,1
-0.09,-0.01,1
-0.09,0.07,1
-0.09,0.13,1
-0.09,0.26,1
-0.09,0.3,1
-0.09,0.32,4
-0.09,0.41,4
-0.09,0.43,4
-0.09,0.63,2
-0.09,0.71,10
-0.09,0.79,11
-0.09,0.84,1
-0.08,-0.85,4
-0.08,-0.83,1
-0.08,-0.72,4
-0.08,-0.46,18
-0.08,-0.36,1
-0.08,-0.3,2
-0.08,-0.15,1
-0.08,-0.1,3
-0.08,-0.01,1
-0.08,0,1
-0.08,0.01,14
-0.08,0.09,4
-0.08,0.16,1
-0.08,0.17,1
-0.08,0.21,1
-0.08,0.28,1
-0.08,0.42,1
-0.08,0.44,3
-0.08,0.47,1
-0.08,0.52,14
-0.08,0.67,1
-0.08,0.76,3
-0.08,0.93,2
-0.08,1.16,3
-0.07,-0.73,1
-0.07,-0.56,3
-0.07,-0.37,2
-0.07,-0.24,11
-0.07,-0.19,3
-0.07,-0.12,1
-0.07,-0.02,4
-0.07,0.03,1
-0.07,0.04,1
-0.07,0.06,3
-0.07,0.21,4
-0.07,0.5,3
-0.07,0.52,2
-0.07,0.53,2
-0.07,0.61,34
-0.07,0.79,6
-0.07,0.88,1
-0.07,0.97,5
-0.06,-0.75,1
-0.06,-0.74,14
-0.06,-0.61,1
-0.06,-0.44,1
-0.06,-0.43,1
-0.06,-0.26,1
-0.06,-0.25,1
-0.06,-0.12,29
-0.06,-0.09,1
-0.06,-0.07,2
-0.06,-0.05,1
-0.06,0.1,1
-0.06,0.22,1
-0.06,0.25,2
-0.06,0.65,8
-0.06,0.66,1
-0.06,0.69,10
-0.06,0.71,2
-0.06,1.11,12
-0.06,1.47,3
-0.05,-0.8,9
-0.05,-0.72,1
-0.05,-0.69,3
-0.05,-0.62,11
-0.05,-0.55,1
-0.05,-0.51,6
-0.05,-0.44,1
-0.05,-0.32,3
-0.05,-0.3,1
-0.05,-0.28,1
-0.05,-0.15,1
-0.05,-0.14,8
-0.05,-0.05,14
-0.05,0,8
-0.05,0.04,1
-0.05,0.11,1
-0.05,0.14,5
-0.05,0.23,2
-0.05,0.26,2
-0.05,0.35,1
