"era","theil_total","between_region","between_provincia","between_prov_within_region","within_provincia"
"macri",2.60589464447188,0.0115520549851559,0.13834057172875,0.126788516743594,2.46755407274313
"fernandez",2.63296082116258,0.00687220303299593,0.232374129747162,0.225501926714166,2.40058669141542
"milei",2.68897127333754,0.0381883544404421,0.382704382609339,0.344516028168897,2.3062668907282
