"medida","chisq","gl","p","prueba"
"congruencia dim1",0.14,2,0.933,"Kruskal-Wallis entre estratos, 12 provincias"
"coeficiente RV",4.68,2,0.0965,"Kruskal-Wallis entre estratos, 12 provincias"
