"provincia","anio","planta","habitantes","empleo_x1000hab"
"Santa Fe",2010,111382,3257907,34.1882073367963
"Santiago del Estero",2010,46110,879246,52.4426610982592
"Tucumán",2010,71899,1489225,48.2794742231698
"Tierra del Fuego",2010,16185,131661,122.929341262789
"Buenos Aires",2011,638440,15909607,40.129212494061
"Catamarca",2011,35733,381548,93.6526990051055
"Córdoba",2011,116086,3411773,34.0251241803016
"Corrientes",2011,52232,1028248,50.7970839719601
"Chaco",2011,61830,1092625,56.5884910193342
"Chubut",2011,38738,524201,73.8991341107705
"Entre Ríos",2011,70588,1268744,55.6361251757644
"Formosa",2011,37610,557223,67.495419248667
"Jujuy",2011,56828,692379,82.0764350160822
"La Rioja",2011,29520,347494,84.9511070694746
"Mendoza",2011,86660,1797235,48.2185134386989
"Misiones",2011,54075,1128798,47.9049395906088
"Neuquén",2011,53587,581720,92.1182011964519
"Río Negro",2011,48142,658486,73.1101344599581
"Salta",2011,57978,1258111,46.0833742014814
"San Juan",2011,31594,704652,44.8363163660928
"Santa Cruz",2011,26144,284414,91.9223385627993
"Santa Fe",2011,112060,3285408,34.1083968870837
"Santiago del Estero",2011,49474,888809,55.6632527348395
"Tucumán",2011,74629,1509932,49.4254045877563
"Tierra del Fuego",2011,17130,135742,126.195282226577
"Buenos Aires",2012,654435,16100618,40.6465764233398
"Catamarca",2012,39510,385408,102.514737628695
"Córdoba",2012,117844,3450673,34.1510192359577
"Corrientes",2012,52098,1038786,50.152774488682
"Chaco",2012,67124,1105280,60.7303126809496
"Chubut",2012,40130,534945,75.0170578283749
"Entre Ríos",2012,72282,1281931,56.385250064161
"Formosa",2012,37288,562794,66.2551484202035
"Jujuy",2012,56706,701252,80.8639404950004
"La Rioja",2012,34032,352476,96.5512545535015
"Misiones",2012,53876,1144189,47.0866264227326
"Neuquén",2012,56309,591422,95.2095119897467
"Río Negro",2012,51018,668663,76.2985240696734
"Salta",2012,62869,1277062,49.2294031143359
"San Juan",2012,32198,713240,45.1432897762324
"Santa Cruz",2012,27323,293407,93.1232042861963
"Santa Fe",2012,118074,3313212,35.6373211252404
"Santiago del Estero",2012,47632,898484,53.0137431495719
"Tucumán",2012,75634,1530689,49.4117354995038
"Tierra del Fuego",2012,17681,139852,126.426508022767
"Buenos Aires",2013,651272,16289599,39.9808491295581
"Catamarca",2013,40391,389256,103.764617629529
"Córdoba",2013,119155,3489669,34.1450722117198
"Corrientes",2013,58656,1049325,55.8987920806233
"Chaco",2013,75041,1117953,67.1235731734697
"Chubut",2013,41239,545656,75.5769202574516
"Entre Ríos",2013,73224,1295121,56.5383466100851
"Formosa",2013,38191,568331,67.1985163575452
"Jujuy",2013,59602,710121,83.9321749392005
"La Rioja",2013,35380,357516,98.9606059588941
"Mendoza",2013,91040,1841813,49.4295566379432
"Misiones",2013,55457,1159445,47.8306431094187
"Neuquén",2013,56254,601003,93.6001983351165
"Río Negro",2013,52331,678797,77.0937408385718
"Salta",2013,64298,1295944,49.6147981702913
"San Juan",2013,36547,721830,50.6310350082429
"Santa Cruz",2013,31698,302420,104.814496395741
"Santa Fe",2013,123685,3341228,37.0178269785839
"Santiago del Estero",2013,49936,908268,54.9793673233011
"Tucumán",2013,77422,1551460,49.9026723215552
"Tierra del Fuego",2013,17563,143987,121.976289526138
"Buenos Aires",2014,646214,16476149,39.2211796579407
"Catamarca",2014,40163,393088,102.173050309345
"Córdoba",2014,121910,3528687,34.5482611520942
"Corrientes",2014,59307,1059836,55.958657754596
"Chaco",2014,77525,1130608,68.5693007656058
"Chubut",2014,42942,556319,77.1895261531603
"Entre Ríos",2014,76184,1308290,58.2317376116916
"Formosa",2014,38889,573823,67.7717693435084
"Jujuy",2014,61457,718971,85.4791083367758
"La Rioja",2014,36222,362605,99.893823857917
"Misiones",2014,56474,1174542,48.081720364193
"Neuquén",2014,59164,610449,96.9188253236552
"Río Negro",2014,53363,688873,77.4642060292681
"Salta",2014,67653,1314726,51.4578703090986
"San Juan",2014,37460,730408,51.2864043110152
"Santa Cruz",2014,33436,311444,107.35798409987
"Santa Fe",2014,127479,3369365,37.8347255343366
"Santiago del Estero",2014,53510,918147,58.2804278617694
"Tucumán",2014,79322,1572205,50.4527081392058
"Tierra del Fuego",2014,18277,148143,123.374037247794
"Buenos Aires",2015,677362,16659931,40.6581515853817
"Catamarca",2015,41587,396895,104.780861436904
"Córdoba",2015,126438,3567654,35.440095928585
"Corrientes",2015,57517,1070283,53.7399921329219
"Chaco",2015,83594,1143201,73.1227491928366
"Chubut",2015,44417,566922,78.3476386522308
"Entre Ríos",2015,77620,1321415,58.7400627357794
"Formosa",2015,39477,579250,68.1519205869659
"Jujuy",2015,64767,727780,88.9925526944956
"La Rioja",2015,38249,367728,104.014380194056
"Misiones",2015,60123,1189446,50.5470614050575
"Neuquén",2015,61197,619745,98.7454517583845
"Río Negro",2015,55660,698874,79.6423961973117
"Salta",2015,71167,1333365,53.3739823679188
"San Juan",2015,35559,738959,48.1203963954698
"Santa Cruz",2015,35256,320469,110.013761081415
"Santa Fe",2015,132496,3397532,38.9977195211112
"Santiago del Estero",2015,57657,928097,62.1238943774196
"Tucumán",2015,81050,1592878,50.8827418044571
"Tierra del Fuego",2015,18442,152317,121.076439268105
"Buenos Aires",2016,682112,16841135,40.5027333371533
"Catamarca",2016,42802,400678,106.823933432831
"Córdoba",2016,125580,3606540,34.8200768603703
"Corrientes",2016,62317,1080655,57.6659525935659
"Chaco",2016,88236,1155723,76.3470139471136
"Chubut",2016,44902,577466,77.756958851257
"Entre Ríos",2016,79374,1334489,59.4789466230145
"Formosa",2016,39187,584614,67.0305534934162
"Jujuy",2016,63808,736542,86.6318553456558
"La Rioja",2016,39022,372879,104.65057029224
"Mendoza",2016,93198.2247934,1907045,48.87049062471
"Misiones",2016,61143,1204182,50.7755472179455
"Neuquén",2016,64729,628897,102.924644258122
"Río Negro",2016,56580,708799,79.8251690535681
"Salta",2016,70689,1351878,52.2894817431751
"San Juan",2016,38156,747488,51.045635515219
"Santa Cruz",2016,35936,329499,109.062546472068
"Santa Fe",2016,133821,3425656,39.0643427127534
"Santiago del Estero",2016,59982,938109,63.9392650534213
"Tucumán",2016,86235,1613476,53.4467200007933
"Tierra del Fuego",2016,18432,156509,117.769585135679
"CABA",2017,176160.916666667,3063728,57.4988760969207
"Buenos Aires",2017,691006.466666667,17020012,40.5996462673861
"Catamarca",2017,42145,404433,104.207619061748
"Córdoba",2017,127075,3645321,34.8597558349457
"Corrientes",2017,62899,1090938,57.6558887856138
"Chaco",2017,85175,1168165,72.9135010893153
"Chubut",2017,44605,587956,75.8645204743212
"Entre Ríos",2017,87452,1347508,64.8990581131986
"Formosa",2017,37935.1666666667,589916,64.3060480927228
"Jujuy",2017,64285,745252,86.2594129234138
"La Rioja",2017,39394,378047,104.203974638074
"Mendoza",2017,93951,1928304,48.7220894630722
"Misiones",2017,61181,1218771,50.198929905618
"Neuquén",2017,66911,637913,104.890478795698
"Río Negro",2017,58017,718646,80.7309857704628
"Salta",2017,70807,1370283,51.6732674929193
"San Juan",2017,40045,755994,52.9699971163792
"Santa Cruz",2017,34482,338542,101.854422789491
"Santa Fe",2017,134618,3453674,38.9782011851727
"Santiago del Estero",2017,59149.8,948172,62.3829853655244
"Tucumán",2017,90150.2044444444,1633992,55.171753866876
"Tierra del Fuego",2017,19371,160720,120.526381284221
"CABA",2018,177470.3,3068043,57.8447890071945
"Buenos Aires",2018,645572.916666667,17196396,37.5411752943272
"Catamarca",2018,44010,408152,107.827476038339
"Córdoba",2018,127727,3683937,34.6713312415495
"Corrientes",2018,62972,1101084,57.1909136814267
"Chaco",2018,86611,1180477,73.3694938571442
"Chubut",2018,44429,598380,74.2488051071226
"Entre Ríos",2018,86637,1360443,63.6829326917776
"Formosa",2018,37875,595129,63.6416642442227
"Jujuy",2018,62484,753891,82.8820081417606
"La Rioja",2018,40083,383220,104.59527164553
"Mendoza",2018,97796.0583333333,1949293,50.1700146326557
"Misiones",2018,58374,1233177,47.336270462391
"Neuquén",2018,68004,646784,105.141747476746
"Río Negro",2018,57889,728403,79.4738626831575
"Salta",2018,70511,1388532,50.7809686777114
"San Juan",2018,41214,764464,53.9122836392557
"Santa Cruz",2018,34287,347593,98.6412269522114
"Santa Fe",2018,134363,3481514,38.5932671820363
"Santiago del Estero",2018,58447.6333333333,958251,60.9940749692234
"Tucumán",2018,90365,1654388,54.6214068283861
"Tierra del Fuego",2018,18958,164944,114.935978271413
"CABA",2019,178776.933333333,3072029,58.1950669519504
"Buenos Aires",2019,624685.483333333,17370144,35.9631724027926
"Catamarca",2019,45083,411824,109.471521815144
"Córdoba",2019,127758,3722332,34.3220325322943
"Corrientes",2019,62852,1111052,56.5698095138661
"Chaco",2019,84917,1192616,71.202298141229
"Chubut",2019,45985,608729,75.5426470564077
"Entre Ríos",2019,86179,1373270,62.7545930516213
"Formosa",2019,37949.0333333333,600229,63.2242582969722
"Jujuy",2019,62328,762440,81.7480719794344
"La Rioja",2019,40834,388386,105.137672315686
"Mendoza",2019,91128.3583333333,1969982,46.2584725816446
"Misiones",2019,60124,1247362,48.2009232283812
"Neuquén",2019,66601,655501,101.603201215559
"Río Negro",2019,59004,738060,79.9447199414682
"Salta",2019,71836.4333333333,1406584,51.0715558639465
"San Juan",2019,43521,772876,56.3104560110548
"Santa Cruz",2019,34669,356647,97.2081638146402
"Santa Fe",2019,140303.233333333,3509113,39.9825349976856
"Santiago del Estero",2019,59237.8333333333,968309,61.1765803409173
"Tucumán",2019,89184,1674622,53.256197518007
"Tierra del Fuego",2019,19004,169183,112.328070787254
"CABA",2020,183557.5,3075646,59.6809580816518
"Buenos Aires",2020,609498.066666667,17541141,34.7467742643803
"Córdoba",2020,125328.8,3760450,33.3281389195442
"Corrientes",2020,59386,1120801,52.9853203200211
"Chaco",2020,81093,1204541,67.32273953315
"Chubut",2020,44671,618994,72.1670969347037
"Entre Ríos",2020,86719,1385961,62.5695816837559
"Formosa",2020,38044.4,605193,62.8632518882406
"Jujuy",2020,63228.1333333333,770881,82.0206145090271
"La Rioja",2020,40015,393531,101.681951358343
"Mendoza",2020,89442.4266666666,1990338,44.9383103104431
"Misiones",2020,63276,1261294,50.1675263657799
"Neuquén",2020,65615,664057,98.8092889616403
"Río Negro",2020,59535,747610,79.633766268509
"Salta",2020,69667,1424397,48.9098193832197
"San Juan",2020,43630,781217,55.8487590515823
"Santa Cruz",2020,34548,365698,94.4713944292832
"Santa Fe",2020,138903,3536418,39.2778794814414
"Santiago del Estero",2020,58742.2333333333,978313,60.0444165960519
"Tucumán",2020,90516,1694656,53.4126099928245
"Tierra del Fuego",2020,19632,173432,113.197103187416
"CABA",2021,197714.5,3078836,64.2172886116701
"Buenos Aires",2021,640701.616666667,17709598,36.1782134561534
"Córdoba",2021,127462,3798261,33.5579887743365
"Corrientes",2021,61953,1130320,54.8101422605988
"Chaco",2021,79376,1216247,65.2630592305675
"Chubut",2021,45690,629181,72.6182132009708
"Entre Ríos",2021,90780,1398510,64.9119419954094
"Formosa",2021,38905.8666666667,610019,63.778122757925
"Jujuy",2021,66377.4,779212,85.1852897542646
"La Rioja",2021,43647,398648,109.487567979772
"Mendoza",2021,92210.175,2010363,45.867425435108
"Misiones",2021,69120,1274992,54.2121048602658
"Neuquén",2021,71594,672461,106.465653770256
"Río Negro",2021,63369,757052,83.7049502544079
"San Juan",2021,45412,789489,57.5207507641018
"Santa Cruz",2021,35665,374756,95.1685896956953
"Santa Fe",2021,140937,3563390,39.5513822511709
"Santiago del Estero",2021,59023.6333333333,988245,59.7257090431354
"Tucumán",2021,93083,1714487,54.292041876083
"Tierra del Fuego",2021,22223,177697,125.061199682606
"CABA",2022,194300.633333333,3121189,62.2521203725033
"Buenos Aires",2022,642687.966666667,17409376,36.9161977239544
"Córdoba",2022,127607.7,3923244,32.5260677133515
"Corrientes",2022,63962,1189015,53.7941068867928
"Chaco",2022,82011,1190747,68.8735726396959
"Chubut",2022,45386.2666666667,597366,75.9773182046964
"Entre Ríos",2022,85845,1449787,59.212146335979
"Formosa",2022,40410,620502,65.1246893644178
"Jujuy",2022,65362.6666666667,795372,82.1787373287803
"La Rioja",2022,43947,398518,110.276072849909
"Mendoza",2022,92584.0333333333,2032783,45.5454582871528
"Misiones",2022,66455,1313583,50.5906364500759
"Neuquén",2022,74545,689222,108.158184155468
"Río Negro",2022,63516,776389,81.809505286654
"Salta",2022,74584.7,1467237,50.8334372701888
"San Juan",2022,46531,837233,55.5771213031498
"Santa Cruz",2022,38126,334397,114.014180749229
"Santa Fe",2022,142625,3670163,38.8606718557187
"Santiago del Estero",2022,58560.8,1045276,56.0242462277906
"Tucumán",2022,94381,1758288,53.6777820243328
"Tierra del Fuego",2022,24435,179645,136.018258231512
"CABA",2023,198847.433333333,3107894,63.9814077743106
"Buenos Aires",2023,635226.816666667,17418577,36.4683531075281
"Córdoba",2023,132357.9,3934514,33.6402157928527
"Corrientes",2023,68437.5,1193970,57.3192793788789
"Chaco",2023,84282.2333333333,1194631,70.5508507089916
"Chubut",2023,46963.2,598946,78.4097397762069
"Entre Ríos",2023,84811.8,1452721,58.381340945715
"Formosa",2023,41769.7333333333,622428,67.1077350847541
"Jujuy",2023,66133.1,796866,82.9914941784441
"La Rioja",2023,46623.3666666667,400097,116.530158103327
"Mendoza",2023,93834.40275,2037228,46.0598434490396
"Misiones",2023,67855.5333333333,1322993,51.2894122140732
"Neuquén",2023,77651.4666666667,693935,111.900201988179
"Río Negro",2023,63672.0333333333,780516,81.5768457447808
"Salta",2023,76751.9,1473871,52.0750459165015
"San Juan",2023,49654.2666666667,841155,59.0310545222541
"Santa Cruz",2023,38126,334541,113.965104426662
"Santa Fe",2023,152859.633333333,3674361,41.6016916501491
"Santiago del Estero",2023,58647.3666666667,1049610,55.8753886364142
"Tucumán",2023,95936.8333333333,1763239,54.4094324894886
"Tierra del Fuego",2023,25133.7333333333,180555,139.202643700442
"CABA",2024,196898,3093735,63.6441065572843
"Buenos Aires",2024,657328,17431446,37.7093214183149
"Catamarca",2024,43661,437508,99.7947466103477
"Córdoba",2024,131305,3946289,33.2730319548315
"Corrientes",2024,61755,1199120,51.5002668623657
"Chaco",2024,81834,1200849,68.1467861487997
"Chubut",2024,47533,600674,79.132774183667
"Entre Ríos",2024,84550,1456015,58.0694567020257
"Formosa",2024,41405,624461,66.305181588602
"Jujuy",2024,66173,798673,82.8536835475846
"La Rioja",2024,44705,401843,111.249916011975
"Mendoza",2024,91784,2042241,44.9427858905976
"Misiones",2024,68183,1333633,51.1257594855556
"Neuquén",2024,77560,698410,111.052247247319
"Río Negro",2024,56796,784591,72.3893085696879
"Salta",2024,85940,1480327,58.0547406079873
"San Juan",2024,49874,845201,59.0084488778409
"Santa Cruz",2024,36321,334752,108.501218812733
"Santa Fe",2024,151850,3679597,41.2681062627239
"Santiago del Estero",2024,56198,1053409,53.3486993181186
"Tucumán",2024,96671,1768368,54.6667888131882
"Tierra del Fuego",2024,25618,181263,141.330552843106
