"provincia","anio","planta","habitantes","empleo_x1000hab"
"La Pampa",1992,14453,267224,54.0857108642936
"La Rioja",1992,21178,228300,92.7639071397284
"Mendoza",1992,41645,1447988,28.7605974635149
"Misiones",1992,32950,816558,40.3523081030374
"Neuquén",1992,27108,407186,66.5739981237076
"Río Negro",1992,29061,522164,55.6549283366912
"Salta",1992,42797,893258,47.9111298191564
"San Juan",1992,28925,539999,53.5649140091
"San Luis",1992,15529,296788,52.3235440786016
"Santa Cruz",1992,15791,165729,95.2820568518485
"Santa Fe",1992,86178,2861831,30.1128892656485
"Santiago del Estero",1992,35091,684690,51.2509310782982
"Tucumán",1992,42082,1169844,35.9723176765449
"Tierra del Fuego",1992,5139,73402,70.0117163020081
"CABA",1993,108573,3022400,35.9227766013764
"Buenos Aires",1993,287855,13056791,22.0463818406835
"Catamarca",1993,25656,277614,92.4160885257948
"Córdoba",1993,87176,2864810,30.4299412526485
"Corrientes",1993,41433,830926,49.8636461008562
"Chaco",1993,37903,872100,43.4617589725949
"Chubut",1993,18507,378985,48.8330672717918
"Entre Ríos",1993,40034,1051095,38.0878988102883
"Formosa",1993,32015,423852,75.5334409180563
"Jujuy",1993,27175,535562,50.7410906673737
"La Pampa",1993,16119,272296,59.1966095719364
"La Rioja",1993,21805,234624,92.935931533006
"Mendoza",1993,46132,1468414,31.4162082355521
"Misiones",1993,32437,838940,38.6642668128829
"Neuquén",1993,30449,425395,71.5781802795049
"Río Negro",1993,29797.5333333333,534659,55.7318465289714
"Salta",1993,41567,914589,45.4488300209165
"San Juan",1993,34173,545214,62.6781410602076
"San Luis",1993,16569,305068,54.3124811517432
"Santa Cruz",1993,13635,170819,79.821331350728
"Santa Fe",1993,85135,2890933,29.4489702805288
"Santiago del Estero",1993,31561,689917,45.746082499779
"Tucumán",1993,43403,1185489,36.6118960192798
"Tierra del Fuego",1993,5519,78915,69.9360070962428
"CABA",1994,105176,3024315,34.7768006970173
"Buenos Aires",1994,287855,13216914,21.7792897797474
"Catamarca",1994,25175,283453,88.8154297185071
"Córdoba",1994,85479,2897225,29.5037492773257
"Corrientes",1994,39440,844441,46.7054536669821
"Chaco",1994,37067,884134,41.9246403825664
"Chubut",1994,20551,389195,52.803864386747
"Entre Ríos",1994,46885,1060039,44.229504763504
"Formosa",1994,32493,435615,74.5910953479563
"Jujuy",1994,27075,545375,49.6447398578959
"La Pampa",1994,16192,277400,58.3705839942322
"La Rioja",1994,22747.4,241150,94.3288409703504
"Mendoza",1994,47180,1488799,31.6899729244848
"Misiones",1994,33886,861902,39.3153746017529
"Neuquén",1994,29846,444468,67.1499410531242
"Río Negro",1994,30540.5333333333,547340,55.798102337365
"Salta",1994,41680,936496,44.5063299789855
"San Juan",1994,33331,550242,60.5751651091702
"San Luis",1994,17142,313578,54.6658247708704
"Santa Cruz",1994,15436,176069,87.6701747610312
"Santa Fe",1994,84216,2919684,28.8442173879091
"Santiago del Estero",1994,32303,694932,46.4836847346215
"Tucumán",1994,46632,1201095,38.824572577523
"Tierra del Fuego",1994,6192,84608,73.1845688350983
"CABA",1995,110025,3027886,36.337233304028
"Buenos Aires",1995,319667,13379401,23.8924747079484
"Catamarca",1995,23237,289212,80.3459054257776
"Córdoba",1995,83288.3333333333,2929734,28.4286332251779
"Corrientes",1995,41051,857685,47.8625602639664
"Chaco",1995,39150,895900,43.6990735573167
"Chubut",1995,23013,399125,57.6586282492953
"Entre Ríos",1995,46745,1069102,43.7236110305658
"Formosa",1995,32415,447094,72.5015321162887
"Jujuy",1995,27217,555097,49.0310702453805
"La Pampa",1995,15552,282356,55.0794033064642
"La Rioja",1995,22031.4,247575,88.9887912753711
"Mendoza",1995,47748,1508959,31.6430068676485
"Misiones",1995,32609,884291,36.8758700473034
"Neuquén",1995,32340,463266,69.8087060133919
"Río Negro",1995,30352.5333333333,559590,54.2406642958833
"Salta",1995,40721,958094,42.5020926965413
