"provincia","estrato","rv"
"CABA","core",0.265
"CABA","core",0.3328
"CABA","core",0.2543
"CABA","core",0.3433
"CABA","core",0.1367
"CABA","core",0.3523
"CABA","core",0.3161
"CABA","core",0.4387
"CABA","core",0.2582
"CABA","core",0.4584
"CABA","core",0.3391
"CABA","core",0.4591
"CABA","core",0.3477
"CABA","core",0.3142
"CABA","core",0.265
"CABA","core",0.2816
"CABA","core",0.4655
"CABA","core",0.3308
"CABA","core",0.2244
"CABA","core",0.373
"CABA","core",0.2202
"CABA","core",0.3372
"CABA","core",0.3868
"CABA","core",0.348
"CABA","core",0.3987
"CABA","core",0.4002
"CABA","core",0.5082
"CABA","core",0.3637
"CABA","core",0.3578
"CABA","core",0.2482
"CABA","core",0.3978
"CABA","core",0.5274
"CABA","core",0.3632
"Buenos Aires","core",0.394
"Buenos Aires","core",0.5232
"Buenos Aires","core",0.397
"Buenos Aires","core",0.461
"Buenos Aires","core",0.5498
"Buenos Aires","core",0.3765
"Buenos Aires","core",0.3869
"Buenos Aires","core",0.462
"Buenos Aires","core",0.4079
"Buenos Aires","core",0.3788
"Buenos Aires","core",0.3576
"Buenos Aires","core",0.495
"Buenos Aires","core",0.5379
"Buenos Aires","core",0.5263
"Buenos Aires","core",0.2032
"Buenos Aires","core",0.399
"Buenos Aires","core",0.4232
"Buenos Aires","core",0.4095
"Buenos Aires","core",0.3769
"Buenos Aires","core",0.263
"Buenos Aires","core",0.4296
"Buenos Aires","core",0.3043
"Buenos Aires","core",0.4186
"Buenos Aires","core",0.4833
"Buenos Aires","core",0.4659
"Buenos Aires","core",0.4695
"Buenos Aires","core",0.4877
"Buenos Aires","core",0.4365
"Buenos Aires","core",0.2545
"Buenos Aires","core",0.3377
"Buenos Aires","core",0.4529
"Buenos Aires","core",0.3318
"Buenos Aires","core",0.3607
"Buenos Aires","core",0.362
"Buenos Aires","core",0.3887
"Buenos Aires","core",0.4298
"Buenos Aires","core",0.5022
"Buenos Aires","core",0.4815
"Buenos Aires","core",0.2543
"Buenos Aires","core",0.5032
"Buenos Aires","core",0.4489
"Buenos Aires","core",0.4499
"Buenos Aires","core",0.4218
"Buenos Aires","core",0.4703
"Buenos Aires","core",0.4151
"Buenos Aires","core",0.6036
"Buenos Aires","core",0.4216
"Buenos Aires","core",0.4336
"Buenos Aires","core",0.4237
"Buenos Aires","core",0.4926
"Buenos Aires","core",0.3803
"Buenos Aires","core",0.5548
"Buenos Aires","core",0.4651
"Buenos Aires","core",0.5641
"Buenos Aires","core",0.2704
"Buenos Aires","core",0.444
"Buenos Aires","core",0.4646
"Buenos Aires","core",0.3202
"Buenos Aires","core",0.2963
"Buenos Aires","core",0.2504
"Buenos Aires","core",0.5131
"Buenos Aires","core",0.4274
"Buenos Aires","core",0.4838
"Buenos Aires","core",0.4783
"Buenos Aires","core",0.4956
"Buenos Aires","core",0.5169
"Buenos Aires","core",0.6363
"Buenos Aires","core",0.2683
"Buenos Aires","core",0.5366
"Buenos Aires","core",0.3867
"Buenos Aires","core",0.2485
"Buenos Aires","core",0.6281
"Buenos Aires","core",0.3469
"Buenos Aires","core",0.5589
"Buenos Aires","core",0.3543
"Buenos Aires","core",0.3614
"Buenos Aires","core",0.4597
"Buenos Aires","core",0.4799
"Buenos Aires","core",0.4999
"Buenos Aires","core",0.6076
"Buenos Aires","core",0.4745
"Buenos Aires","core",0.3374
"Buenos Aires","core",0.3514
"Buenos Aires","core",0.3695
"Buenos Aires","core",0.5576
"Buenos Aires","core",0.4735
"Buenos Aires","core",0.1747
"Buenos Aires","core",0.4273
"Buenos Aires","core",0.4313
"Buenos Aires","core",0.4385
"Buenos Aires","core",0.3734
"Buenos Aires","core",0.2375
"Buenos Aires","core",0.4515
"Buenos Aires","core",0.4725
"Buenos Aires","core",0.349
"Buenos Aires","core",0.3541
"Buenos Aires","core",0.3439
"Buenos Aires","core",0.5442
"Buenos Aires","core",0.4445
"Buenos Aires","core",0.5186
"Buenos Aires","core",0.5
"Buenos Aires","core",0.6344
"Buenos Aires","core",0.3835
"Buenos Aires","core",0.4269
"Buenos Aires","core",0.4036
"Buenos Aires","core",0.3738
"Buenos Aires","core",0.3996
"Buenos Aires","core",0.3954
"Buenos Aires","core",0.4009
"Buenos Aires","core",0.5637
"Buenos Aires","core",0.3247
"Buenos Aires","core",0.4373
"Buenos Aires","core",0.4347
"Buenos Aires","core",0.5021
"Buenos Aires","core",0.2377
"Buenos Aires","core",0.4743
"Buenos Aires","core",0.5361
"Buenos Aires","core",0.5046
"Buenos Aires","core",0.4248
"Buenos Aires","core",0.3869
"Buenos Aires","core",0.4302
"Buenos Aires","core",0.4265
"Buenos Aires","core",0.314
"Buenos Aires","core",0.4459
"Buenos Aires","core",0.6092
"Buenos Aires","core",0.3389
"Buenos Aires","core",0.4383
"Buenos Aires","core",0.5661
"Buenos Aires","core",0.3728
"Buenos Aires","core",0.4621
"Buenos Aires","core",0.3847
"Buenos Aires","core",0.3775
"Buenos Aires","core",0.4341
"Buenos Aires","core",0.376
"Buenos Aires","core",0.4277
"Buenos Aires","core",0.1555
"Buenos Aires","core",0.3785
"Buenos Aires","core",0.2954
"Buenos Aires","core",0.4718
"Buenos Aires","core",0.3208
"Buenos Aires","core",0.6065
"Buenos Aires","core",0.4592
"Buenos Aires","core",0.4334
"Buenos Aires","core",0.5285
"Buenos Aires","core",0.3641
"Buenos Aires","core",0.6399
"Buenos Aires","core",0.4431
"Buenos Aires","core",0.4102
"Buenos Aires","core",0.4244
"Buenos Aires","core",0.5319
"Buenos Aires","core",0.3889
"Buenos Aires","core",0.4889
"Buenos Aires","core",0.6414
"Buenos Aires","core",0.5245
"Buenos Aires","core",0.3251
"Buenos Aires","core",0.4423
"Buenos Aires","core",0.4766
"Buenos Aires","core",0.5584
"Buenos Aires","core",0.5979
"Buenos Aires","core",0.2357
"Buenos Aires","core",0.4081
"Buenos Aires","core",0.3574
"Buenos Aires","core",0.2289
"Buenos Aires","core",0.5399
"Buenos Aires","core",0.3558
"Buenos Aires","core",0.3433
