"universo","inicio","fin","delta","ic_lo","ic_hi","p_delta_menor_igual_0","rho_tendencia","p_tendencia"
"todos los compradores",0.0557,0.1381,0.0824,0.0416,0.1038,0.001,0.821,0.0341
"panel balanceado",0.0796,0.1154,0.0359,-0.0236,0.0634,0.127,0.536,0.236
