"supplier_id","provincia","estrato","A_personeria","A_rubro","A_cliente","A_escala","A_directa","A_registro","S_intensidad","S_tenure","S_cohorte","S_fundamento","n_adjudicaciones","primer_ejercicio","ultimo_ejercicio"
4074,"CABA","core","SRL","OTROS","salud_social","chica","sin_directa","reg22plus","1adj","1anio","fund_2017plus","sin_fundamento",1,2025,2025
4075,"Chaco","outer","PersFisica","ELECTRICIDAD Y TEL","seguridad_defensa","grande","mixto","reg22plus","2-5adj","1anio","pers_fisica","solo_aritmetico",2,2024,2024
4076,"CABA","core","SA","SERV. PROFESIONAL ","seguridad_defensa","grande","mixto","reg16_18","20+adj","5+anios","fund_pre2000","consagrado",27,2019,2025
4077,"Corrientes","outer","PersFisica","ALQUILER","salud_social","grande","mayoria_directa","reg16_18","2-5adj","2-4anios","pers_fisica","solo_aritmetico",2,2019,2021
4078,"CABA","core","PersFisica","LIBRERIA PAP. Y UT","cultura_educacion","grande","sin_directa","reg19_21","1adj","1anio","pers_fisica","sin_fundamento",1,2021,2021
4079,"Buenos Aires","core","PersFisica","ALQUILER","salud_social","media","mayoria_directa","reg19_21","1adj","1anio","pers_fisica","solo_aritmetico",1,2022,2022
4080,"Buenos Aires","core","PersFisica","OTROS","cultura_educacion","chica","mixto","reg19_21","2-5adj","1anio","pers_fisica","solo_aritmetico",2,2023,2023
4081,"Catamarca","outer","SRL","SERV. PROFESIONAL ","seguridad_defensa","chica","mayoria_directa","reg22plus","2-5adj","2-4anios","fund_2001_2010","solo_aritmetico",2,2024,2025
4082,"Buenos Aires","core","SRL","MANT. REPARACION Y","seguridad_defensa","media","mayoria_directa","reg22plus","1adj","1anio","fund_2017plus","solo_aritmetico",1,2025,2025
4083,"Santa Cruz","middle","PersFisica","ALIMENTOS","seguridad_defensa","chica","sin_directa","reg16_18","6-20adj","2-4anios","pers_fisica","sin_fundamento",6,2019,2021
4084,"La Pampa","middle","OtraForma","EQUIPOS","infraestructura","media","mayoria_directa","reg22plus","1adj","1anio","fund_2017plus","solo_aritmetico",1,2022,2022
4085,"Buenos Aires","core","SA","PROD. MEDICO/FARMA","seguridad_defensa","grande","sin_directa","reg19_21","1adj","1anio","fund_2011_2016","sin_fundamento",1,2025,2025
4086,"Buenos Aires","core","OtraForma","ALIMENTOS","salud_social","grande","mayoria_directa","reg16_18","2-5adj","1anio","fund_2011_2016","solo_aritmetico",2,2023,2023
4087,"Río Negro","middle","PersFisica","SERV. PROFESIONAL ","ciencia_universidad","media","mayoria_directa","reg16_18","2-5adj","2-4anios","pers_fisica","solo_aritmetico",3,2019,2022
4088,"Tucumán","outer","SA","SERV. PROFESIONAL ","ciencia_universidad","chica","mayoria_directa","reg16_18","6-20adj","5+anios","fund_pre2000","solo_aritmetico",6,2020,2025
4089,"CABA","core","SRL","OTROS","cultura_educacion","media","sin_directa","reg19_21","2-5adj","2-4anios","fund_2011_2016","sin_fundamento",4,2023,2025
4090,"Córdoba","core","OtraForma","MANT. REPARACION Y","infraestructura","grande","mixto","reg19_21","20+adj","5+anios","fund_2017plus","solo_aritmetico",22,2021,2025
4091,"Misiones","outer","PersFisica","MANT. REPARACION Y","seguridad_defensa","media","sin_directa","reg22plus","2-5adj","2-4anios","pers_fisica","sin_fundamento",2,2023,2024
4092,"CABA","core","SRL","PROD. MEDICO/FARMA","salud_social","grande","mayoria_directa","reg22plus","2-5adj","2-4anios","fund_2017plus","consagrado",2,2023,2024
4093,"Buenos Aires","core","SRL","MANT. REPARACION Y","seguridad_defensa","media","mixto","reg16_18","2-5adj","2-4anios","fund_2001_2010","solo_aritmetico",5,2019,2020
4094,"CABA","core","SRL","MANT. REPARACION Y","seguridad_defensa","media","mayoria_directa","reg19_21","2-5adj","2-4anios","fund_2017plus","solo_aritmetico",3,2023,2025
4095,"CABA","core","SA","MANT. REPARACION Y","seguridad_defensa","grande","sin_directa","reg22plus","1adj","1anio","fund_2017plus","sin_fundamento",1,2023,2023
4096,"Córdoba","core","SRL","MANT. REPARACION Y","administracion","grande","sin_directa","reg16_18","2-5adj","2-4anios","fund_2011_2016","sin_fundamento",3,2019,2022
4097,"CABA","core","SRL","OTROS","administracion","media","mayoria_directa","reg19_21","2-5adj","1anio","fund_2017plus","solo_aritmetico",2,2019,2019
4098,"CABA","core","SA","ALQUILER","salud_social","grande","mayoria_directa","reg19_21","1adj","1anio","fund_pre2000","solo_aritmetico",1,2021,2021
4099,"Río Negro","middle","OtraForma","MANT. REPARACION Y","infraestructura","media","mixto","reg19_21","20+adj","5+anios","fund_2017plus","solo_aritmetico",25,2019,2024
4100,"Río Negro","middle","PersFisica","ALIMENTOS","seguridad_defensa","chica","mayoria_directa","reg19_21","2-5adj","2-4anios","pers_fisica","solo_aritmetico",2,2020,2021
4101,"Río Negro","middle","PersFisica","SERV. PROFESIONAL ","administracion","media","sin_directa","reg16_18","1adj","1anio","pers_fisica","sin_fundamento",1,2019,2019
4102,"Tucumán","outer","PersFisica","ALIMENTOS","salud_social","grande","sin_directa","reg16_18","2-5adj","2-4anios","pers_fisica","sin_fundamento",2,2019,2020
4103,"Buenos Aires","core","SRL","OTROS","seguridad_defensa","grande","sin_directa","reg16_18","6-20adj","5+anios","fund_2001_2010","sin_fundamento",10,2019,2025
4104,"Santa Fe","core","SRL","EQUIPOS","infraestructura","sin_ars","sin_directa","reg16_18","1adj","1anio","fund_2001_2010","sin_fundamento",1,2023,2023
4105,"Mendoza","core","SA","LIBRERIA PAP. Y UT","seguridad_defensa","media","mayoria_directa","reg16_18","2-5adj","2-4anios","fund_pre2000","solo_aritmetico",3,2019,2020
4106,"CABA","core","OtraForma","SERV. PROFESIONAL ","salud_social","grande","sin_directa","reg16_18","1adj","1anio","fund_pre2000","sin_fundamento",1,2024,2024
4107,"Mendoza","core","PersFisica","SERV. PROFESIONAL ","administracion","media","mayoria_directa","reg22plus","2-5adj","1anio","pers_fisica","consagrado",2,2025,2025
4108,"Neuquén","middle","PersFisica","LIBRERIA PAP. Y UT","cultura_educacion","grande","sin_directa","reg19_21","1adj","1anio","pers_fisica","sin_fundamento",1,2021,2021
4109,"Mendoza","core","PersFisica","ALIMENTOS","seguridad_defensa","grande","mixto","reg22plus","2-5adj","1anio","pers_fisica","solo_aritmetico",4,2025,2025
4110,"Buenos Aires","core","SRL","OTROS","administracion","media","mixto","reg16_18","6-20adj","5+anios","fund_2001_2010","solo_aritmetico",15,2019,2025
4111,"Buenos Aires","core","SRL","EQUIPOS","administracion","media","mixto","reg16_18","2-5adj","2-4anios","fund_2011_2016","sin_fundamento",2,2019,2020
4112,"CABA","core","PersFisica","ELECTRICIDAD Y TEL","salud_social","media","mayoria_directa","reg16_18","1adj","1anio","pers_fisica","solo_aritmetico",1,2019,2019
4113,"Buenos Aires","core","PersFisica","MANT. REPARACION Y","infraestructura","grande","sin_directa","reg16_18","1adj","1anio","pers_fisica","sin_fundamento",1,2023,2023
4114,"CABA","core","SA","MANT. REPARACION Y","administracion","chica","mayoria_directa","reg19_21","2-5adj","2-4anios","fund_2011_2016","consagrado",2,2019,2020
4115,"CABA","core","SA","EQUIPOS","administracion","media","mayoria_directa","reg19_21","2-5adj","2-4anios","fund_pre2000","solo_aritmetico",3,2022,2023
4116,"Córdoba","core","PersFisica","OTROS","seguridad_defensa","chica","sin_directa","reg19_21","1adj","1anio","pers_fisica","sin_fundamento",1,2020,2020
4117,"CABA","core","SA","SERV. PROFESIONAL ","administracion","grande","sin_directa","reg19_21","1adj","1anio","fund_2011_2016","sin_fundamento",1,2022,2022
4118,"Buenos Aires","core","PersFisica","OTROS","seguridad_defensa","chica","mixto","reg19_21","20+adj","2-4anios","pers_fisica","solo_aritmetico",29,2021,2023
4119,"CABA","core","SRL","SERV. PROFESIONAL ","administracion","grande","sin_directa","reg16_18","2-5adj","2-4anios","fund_2001_2010","sin_fundamento",3,2020,2022
4120,"Chubut","middle","PersFisica","SERV. PROFESIONAL ","infraestructura","media","mixto","reg19_21","2-5adj","2-4anios","pers_fisica","solo_aritmetico",4,2021,2023
4121,"CABA","core","SA","OTROS","salud_social","media","mayoria_directa","reg16_18","20+adj","5+anios","fund_pre2000","consagrado",121,2019,2025
4122,"Río Negro","middle","OtraForma","MANT. REPARACION Y","seguridad_defensa","media","mayoria_directa","reg19_21","1adj","1anio","sin_match","solo_aritmetico",1,2022,2022
4123,"Buenos Aires","core","PersFisica","LIBRERIA PAP. Y UT","ciencia_universidad","chica","mayoria_directa","reg16_18","6-20adj","5+anios","pers_fisica","solo_aritmetico",13,2019,2025
4124,"CABA","core","SRL","OTROS","cultura_educacion","media","mixto","reg16_18","2-5adj","1anio","fund_2017plus","solo_aritmetico",2,2024,2024
4125,"Buenos Aires","core","PersFisica","OTROS","seguridad_defensa","chica","sin_directa","reg19_21","2-5adj","1anio","pers_fisica","sin_fundamento",3,2021,2021
4126,"Buenos Aires","core","OtraForma","OTROS","seguridad_defensa","chica","mayoria_directa","reg16_18","20+adj","5+anios","fund_2017plus","solo_aritmetico",23,2019,2023
4127,"Mendoza","core","OtraForma","MANT. REPARACION Y","infraestructura","grande","mayoria_directa","reg19_21","1adj","1anio","sin_match","solo_aritmetico",1,2021,2021
4128,"Neuquén","middle","OtraForma","SERV. PROFESIONAL ","administracion","media","mayoria_directa","reg16_18","2-5adj","2-4anios","sin_match","solo_aritmetico",3,2021,2023
4129,"CABA","core","SA","LIBRERIA PAP. Y UT","cultura_educacion","grande","mayoria_directa","reg16_18","2-5adj","2-4anios","fund_2001_2010","consagrado",4,2020,2023
4130,"Buenos Aires","core","PersFisica","SERV. PROFESIONAL ","seguridad_defensa","chica","mayoria_directa","reg19_21","1adj","1anio","pers_fisica","consagrado",1,2021,2021
4131,"CABA","core","SRL","SERV. PROFESIONAL ","seguridad_defensa","grande","sin_directa","reg22plus","2-5adj","1anio","fund_2017plus","sin_fundamento",3,2025,2025
4132,"Santa Fe","core","SRL","OTROS","seguridad_defensa","grande","sin_directa","reg16_18","2-5adj","2-4anios","fund_2001_2010","sin_fundamento",2,2019,2020
4133,"Buenos Aires","core","SRL","MANT. REPARACION Y","salud_social","chica","mayoria_directa","reg19_21","1adj","1anio","fund_2001_2010","solo_aritmetico",1,2019,2019
4134,"Mendoza","core","SA","MANT. REPARACION Y","administracion","chica","mayoria_directa","reg19_21","2-5adj","2-4anios","fund_2001_2010","solo_aritmetico",4,2020,2023
4135,"Buenos Aires","core","PersFisica","MANT. REPARACION Y","cultura_educacion","media","mayoria_directa","reg16_18","6-20adj","5+anios","pers_fisica","consagrado",8,2020,2024
4136,"Neuquén","middle","SRL","MANT. REPARACION Y","seguridad_defensa","media","mixto","reg16_18","6-20adj","2-4anios","fund_pre2000","solo_aritmetico",11,2019,2021
4137,"CABA","core","SRL","MANT. REPARACION Y","seguridad_defensa","grande","sin_directa","reg16_18","1adj","1anio","fund_pre2000","sin_fundamento",1,2021,2021
4138,"Buenos Aires","core","SA","SERV. PROFESIONAL ","administracion","chica","mayoria_directa","reg16_18","2-5adj","2-4anios","fund_2001_2010","solo_aritmetico",5,2019,2022
4139,"Río Negro","middle","PersFisica","ELECTRICIDAD Y TEL","seguridad_defensa","chica","mayoria_directa","reg22plus","6-20adj","2-4anios","pers_fisica","solo_aritmetico",9,2024,2025
4140,"Buenos Aires","core","PersFisica","ALQUILER","salud_social","media","mayoria_directa","reg19_21","2-5adj","2-4anios","pers_fisica","solo_aritmetico",2,2022,2025
4141,"CABA","core","SRL","ELECTRICIDAD Y TEL","seguridad_defensa","chica","mixto","reg19_21","20+adj","2-4anios","fund_2017plus","solo_aritmetico",92,2021,2024
4142,"Córdoba","core","SRL","OTROS","infraestructura","media","mayoria_directa","reg16_18","6-20adj","5+anios","fund_2011_2016","solo_aritmetico",9,2019,2025
4143,"Santiago del Estero","outer","PersFisica","OTROS","infraestructura","media","sin_directa","reg22plus","1adj","1anio","pers_fisica","sin_fundamento",1,2023,2023
4144,"Santa Fe","core","SRL","PROD. MEDICO/FARMA","ciencia_universidad","chica","mayoria_directa","reg16_18","20+adj","5+anios","fund_2001_2010","solo_aritmetico",60,2019,2025
4145,"Buenos Aires","core","PersFisica","ELECTRICIDAD Y TEL","seguridad_defensa","chica","mixto","reg16_18","6-20adj","2-4anios","pers_fisica","solo_aritmetico",14,2019,2020
4146,"CABA","core","SA","SERV. PROFESIONAL ","administracion","grande","mixto","reg16_18","20+adj","5+anios","fund_2001_2010","solo_aritmetico",80,2019,2025
